,Holliday_Package,Salary,age,educ,no_young_children,no_older_children,foreign
231,yes,49052,45,8,0,6,no
232,no,17580,57,8,0,1,no
233,no,62509,51,8,0,0,no
234,yes,56915,44,11,0,1,no
235,no,22366,55,7,0,2,no
236,no,98668,55,14,0,0,no
237,yes,40406,48,10,0,1,no
238,no,42078,45,9,0,3,no
239,no,36813,54,11,0,0,no
240,no,75120,56,12,0,0,no
241,yes,44302,33,13,2,0,no
242,no,52736,40,10,0,3,no
243,no,36976,54,7,0,2,no
244,no,32826,56,4,0,0,no
245,no,67573,40,9,0,2,no
246,yes,25852,42,8,0,3,no
247,no,72394,50,14,0,1,no
248,yes,39355,49,9,0,0,no
249,no,49382,58,8,0,0,no
250,yes,17350,58,8,0,0,no
251,no,43256,57,4,0,0,no
252,no,43855,54,4,0,0,no
253,no,26516,59,8,0,0,no
254,yes,117276,51,18,0,1,no
255,no,48778,26,12,1,0,no
256,yes,58227,43,10,0,2,no
257,no,38424,38,9,0,2,no
258,yes,44552,39,8,0,2,no
259,yes,33814,53,9,0,0,no
260,no,63019,38,10,0,1,no
261,yes,51621,48,7,0,0,no
262,yes,35700,41,9,0,0,no
263,no,48458,55,12,0,0,no
264,no,37638,30,13,1,0,no
265,yes,25118,58,8,0,0,no
266,no,33300,28,8,2,0,no
267,yes,38185,36,15,0,0,no
268,no,43426,50,4,0,1,no
269,no,51306,27,10,1,1,no
270,yes,30539,55,8,0,0,no
271,no,46951,28,12,1,0,no
272,yes,43790,45,8,0,2,no
273,yes,44153,39,4,0,0,no
274,yes,34469,30,9,0,1,no
275,yes,60491,53,8,0,0,no
276,no,44544,23,10,2,0,no
277,no,54915,58,13,0,0,no
278,no,27895,44,9,0,1,no
279,no,128276,52,9,0,1,no
280,no,35780,24,12,1,0,no
281,yes,69406,48,9,0,0,no
282,no,69808,38,11,0,2,no
283,no,42004,56,11,0,0,no
284,yes,47944,50,8,0,0,no
285,yes,59062,43,14,0,3,no
286,no,41298,28,10,0,2,no
287,no,55065,56,12,0,0,no
288,yes,44476,36,12,0,2,no
289,no,57098,47,11,0,1,no
290,yes,32287,37,11,0,0,no
291,no,44280,46,11,0,0,no
292,no,63053,57,9,0,0,no
293,no,42482,33,10,0,2,no
294,no,38352,47,8,0,2,no
295,no,119644,45,14,0,2,no
296,yes,96072,42,13,0,3,no
297,no,115431,33,11,2,2,no
298,yes,44207,45,12,0,2,no
299,yes,50995,39,9,0,1,no
300,yes,48786,33,10,0,3,no
301,yes,32197,29,4,1,1,no
302,yes,53444,44,13,0,2,no
303,no,86113,33,15,0,3,no
304,no,68325,26,11,1,0,no
305,yes,54169,32,12,0,0,no
306,no,70279,29,12,1,2,no
307,yes,23345,60,9,0,0,no
308,yes,45979,39,11,0,2,no
309,yes,16001,47,9,0,0,no
310,no,69565,34,8,0,3,no
311,yes,1322,57,12,0,0,no
312,no,47233,33,12,0,2,no
313,no,41856,56,8,0,0,no
314,yes,50066,55,9,0,0,no
315,no,120228,37,13,0,3,no
316,yes,52419,54,8,0,0,no
317,yes,108836,33,14,1,2,no
318,no,84673,52,4,0,1,no
319,yes,34206,25,13,0,0,no
320,yes,48376,47,8,0,1,no
321,no,44070,42,9,0,2,no
322,no,41756,31,12,0,2,no
323,no,32573,30,11,1,0,no
324,no,65782,58,4,0,0,no
325,yes,21000,57,15,0,0,no
326,no,53164,60,8,0,0,no
327,yes,56699,44,11,0,1,no
328,no,45393,26,8,1,2,no
329,yes,47956,59,12,0,0,no
330,no,33222,21,12,1,0,no
331,yes,30685,50,9,0,0,no
332,no,62232,45,9,0,0,no
333,no,33789,44,8,0,1,no
334,no,20000,24,8,1,0,no
335,no,33357,31,10,0,1,no
336,no,104085,47,7,0,1,no
337,no,45565,49,7,0,1,no
338,yes,45248,45,3,0,4,no
339,yes,41582,36,9,0,3,no
340,yes,40454,43,8,0,1,no
341,yes,54076,57,8,0,0,no
342,no,38725,28,10,0,1,no
343,no,60409,43,12,1,0,no
344,no,57888,57,11,0,1,no
345,no,65834,51,8,0,0,no
346,no,56933,27,12,1,0,no
347,no,69011,32,14,3,0,no
348,yes,57269,38,12,0,1,no
349,no,22018,61,11,0,0,no
350,yes,53282,33,11,2,0,no
351,yes,45523,44,11,0,0,no
352,no,32191,42,8,0,0,no
353,yes,36967,59,8,0,0,no
354,no,57561,34,8,0,1,no
355,no,60930,26,13,1,1,no
356,no,41382,31,11,1,1,no
357,no,53100,41,9,0,1,no
358,no,38420,56,11,0,0,no
359,no,52753,36,12,0,2,no
360,no,58369,47,12,0,0,no
361,no,74137,38,12,0,3,no
362,no,38774,39,9,1,2,no
363,no,46960,52,8,0,1,no
364,yes,27394,43,4,0,0,no
365,yes,47658,49,11,0,0,no
366,no,42020,31,16,1,2,no
367,yes,40524,38,11,0,2,no
368,no,36210,49,4,0,0,no
369,yes,79732,36,11,0,2,no
370,yes,44962,28,10,1,1,no
371,no,64877,31,12,2,0,no
372,yes,47361,39,12,0,2,no
373,no,131576,38,14,0,2,no
374,no,89759,54,13,0,0,no
375,yes,39888,45,12,0,1,no
376,yes,38800,27,8,0,0,no
377,yes,69827,43,9,0,0,no
378,no,41962,61,8,0,0,no
379,yes,57694,30,15,1,1,no
380,yes,57073,26,10,1,2,no
381,yes,60265,51,12,0,0,no
382,no,36449,59,9,0,0,no
383,no,37144,58,14,0,0,no
384,yes,34330,31,11,0,0,no
385,no,31693,59,4,0,0,no
386,no,52488,41,9,0,1,no
387,no,44728,25,10,1,0,no
388,yes,57523,45,11,0,4,no
389,no,38018,23,12,0,0,no
390,yes,41585,42,10,0,2,no
391,no,43254,33,8,0,2,no
392,no,40160,46,8,0,1,no
393,no,28602,30,4,2,0,no
394,yes,40889,36,10,0,4,no
395,yes,23964,25,12,0,0,no
396,yes,75562,41,12,0,2,no
397,yes,40726,21,10,0,0,no
398,yes,53738,38,12,0,0,no
399,no,59108,34,9,0,3,no
400,yes,54246,55,8,0,0,no
401,no,59692,43,11,0,2,no
402,no,39099,59,8,0,0,no
403,yes,37448,38,12,0,2,no
404,yes,46666,43,9,0,0,no
405,yes,29846,22,8,0,0,no
406,yes,64330,36,11,0,2,no
407,yes,56007,28,9,0,1,no
408,no,47381,30,9,1,1,no
409,yes,49420,51,11,0,0,no
410,yes,68190,44,9,0,0,no
411,yes,25327,20,11,0,0,no
412,yes,34412,47,12,0,0,no
413,yes,36211,41,7,0,0,no
414,no,36409,42,8,0,2,no
415,no,49673,31,10,0,0,no
416,yes,49993,61,4,0,0,no
417,no,57829,37,8,0,2,no
418,no,56432,38,12,0,2,no
419,no,44293,28,12,1,1,no
420,no,38478,20,12,1,0,no
421,no,52566,51,8,0,0,no
422,yes,35825,21,9,0,0,no
423,no,42260,22,12,1,0,no
424,yes,46223,26,9,0,0,no
425,no,41528,57,9,0,0,no
426,yes,39218,34,9,0,2,no
427,no,80764,28,12,0,0,no
428,yes,35600,32,10,2,0,no
429,no,34654,21,14,1,0,no
430,yes,35306,38,9,0,1,no
431,no,17047,61,4,0,0,no
432,no,41769,43,9,0,0,no
433,no,40998,28,12,3,1,no
434,yes,51165,27,11,1,0,no
435,no,77421,34,17,1,0,no
436,yes,28158,40,9,0,6,no
437,no,57197,49,9,0,0,no
438,no,59050,31,11,2,0,no
439,no,35582,26,10,2,0,no
440,yes,40794,40,6,0,3,no
441,yes,35039,37,8,0,3,no
442,no,35678,21,11,1,0,no
443,yes,44023,33,9,0,3,no
444,yes,24608,34,16,0,2,no
445,yes,47827,23,12,0,0,no
446,yes,36729,39,8,0,3,no
447,no,54626,52,10,0,1,no
448,no,78447,35,3,0,2,no
449,no,81307,56,12,0,0,no
450,no,84482,51,10,0,0,no
451,yes,38683,43,9,0,1,no
452,yes,47038,52,8,0,0,no
453,no,47995,49,10,0,0,no
454,yes,48018,36,10,0,2,no
455,yes,36946,23,15,0,0,no
456,no,90272,42,5,0,2,no
457,no,37726,58,8,0,0,no
458,no,33071,57,9,0,0,no
459,no,55506,34,12,0,2,no
460,no,38145,56,13,0,0,no
461,no,50801,58,10,0,0,no
462,no,33954,60,12,0,0,no
463,yes,76446,49,11,0,0,no
464,yes,44994,50,12,0,0,no
465,no,64239,41,12,0,2,no
466,no,128381,46,12,0,1,no
467,yes,38598,28,12,2,0,no
468,yes,44653,33,13,0,0,no
469,no,46241,33,12,0,1,no
470,yes,35093,27,13,1,1,no
471,no,51573,51,10,0,0,no
472,yes,36596,51,5,0,1,no
473,no,27040,60,9,0,0,no
474,no,45385,29,12,2,0,no
475,yes,44334,28,14,0,2,no
476,yes,56148,35,12,0,2,no
477,no,208561,35,16,1,2,no
478,no,51070,48,9,0,0,no
479,no,49487,32,10,0,2,no
480,yes,78892,35,12,0,2,no
481,yes,42594,27,5,1,0,no
482,yes,37069,26,13,2,0,no
483,yes,37795,36,16,0,1,no
484,no,67611,40,11,0,4,no
485,no,24573,26,7,2,0,no
486,yes,36115,20,12,0,0,no
487,no,44861,39,10,1,3,no
488,no,34420,28,9,1,0,no
489,yes,51666,42,14,0,2,no
490,no,49302,23,12,1,0,no
491,no,41282,24,9,2,0,no
492,no,36308,25,16,2,0,no
493,yes,45419,34,12,0,1,no
494,no,59852,37,9,0,2,no
495,yes,28596,49,15,0,0,no
496,yes,19266,36,9,0,2,no
497,yes,39346,37,8,0,2,no
498,yes,38196,28,13,1,1,no
499,yes,41267,43,5,0,2,no
500,yes,35070,52,5,0,0,no
501,yes,35095,35,13,0,2,no
502,no,41397,55,10,0,0,no
503,no,34017,57,5,0,0,no
504,no,41167,44,9,0,2,no
505,no,43502,25,10,2,0,no
506,yes,53759,38,14,0,3,no
507,yes,27745,37,9,0,1,no
508,no,56874,49,8,0,1,no
509,no,53003,46,10,0,0,no
510,yes,37094,27,13,0,1,no
511,yes,25434,51,9,0,0,no
512,yes,39765,48,11,0,2,no
513,no,36016,26,11,1,2,no
514,yes,14119,44,13,0,0,no
515,no,46115,50,11,0,0,no
516,no,41165,48,6,0,0,no
517,yes,45698,41,10,0,2,no
518,yes,84592,38,12,0,0,no
519,yes,53189,35,13,0,1,no
520,yes,46110,42,15,0,1,no
521,yes,41421,45,11,0,2,no
522,yes,36800,44,9,0,1,no
523,no,55880,56,12,0,0,no
524,yes,74580,29,13,1,0,no
525,yes,44580,46,12,0,1,no
526,no,43204,33,11,1,1,no
527,no,62674,28,14,1,1,no
528,no,50640,50,14,0,0,no
529,yes,47175,27,14,0,0,no
530,yes,45436,38,11,0,0,no
531,no,41098,50,5,0,0,no
532,yes,36099,21,11,1,0,no
533,no,34644,24,7,1,1,no
534,no,24186,55,9,0,0,no
535,no,94490,38,11,0,2,no
536,no,51543,33,7,0,2,no
537,no,49686,60,10,0,0,no
538,no,47249,53,6,0,0,no
539,no,61441,29,11,1,0,no
540,yes,23792,40,10,0,1,no
541,yes,42626,39,12,0,2,no
542,yes,49080,34,14,1,1,no
543,yes,40090,48,4,0,1,no
544,yes,34521,35,13,0,0,no
545,no,84656,30,9,1,0,no
546,no,115842,25,11,1,0,no
547,no,20682,59,9,0,0,no
548,no,63833,51,19,0,2,no
549,no,37733,39,9,0,2,no
550,no,43940,59,10,0,0,no
551,no,42443,40,8,0,2,no
552,no,12070,36,8,1,0,no
553,no,42188,48,8,0,2,no
554,no,37293,21,11,1,0,no
555,no,27909,58,5,0,0,no
556,no,27598,60,8,0,0,no
557,no,62777,48,11,0,1,no
558,yes,81148,35,13,0,1,no
559,no,38343,49,11,0,0,no
560,yes,28573,44,7,0,1,no
561,no,87897,47,13,0,0,no
562,no,46063,53,8,0,0,no
563,no,53546,46,12,0,2,no
564,no,135489,54,13,0,2,no
565,no,21909,59,11,0,0,no
566,no,46846,57,10,0,0,no
567,no,34286,42,5,0,0,no
568,no,22244,62,11,0,0,no
569,no,39460,46,4,0,2,no
570,no,49582,35,12,0,2,no
571,no,57464,32,12,2,0,no
572,no,20869,35,12,0,2,no
573,no,36267,40,11,0,2,no
574,yes,39963,25,14,0,0,no
575,no,37266,40,12,0,1,no
576,no,48209,29,10,0,0,no
577,no,67248,37,11,0,2,no
578,no,69658,53,5,0,1,no
579,no,18486,60,9,0,0,no
580,yes,19845,42,9,0,3,no
581,no,42425,32,12,0,3,no
582,no,17396,59,5,0,0,no
583,yes,19514,45,8,0,1,no
584,no,68528,51,8,0,1,no
585,yes,32910,35,8,0,0,no
586,no,46595,28,11,0,0,no
587,no,30735,57,5,0,0,no
588,yes,50202,26,7,1,0,no
589,yes,30378,42,5,0,0,no
590,no,42448,31,12,1,1,no
591,no,42508,55,8,0,0,no
592,no,51337,42,15,0,2,no
593,no,64744,40,11,0,3,no
594,no,34649,47,11,0,0,no
595,no,42369,47,9,0,1,no
596,yes,42042,26,13,1,0,no
597,no,79280,44,9,1,0,no
598,no,39460,23,9,0,1,no
599,no,52631,50,8,0,0,no
600,no,28656,58,12,0,0,no
601,yes,64029,40,9,0,2,no
602,yes,36949,33,12,0,2,no
603,yes,71170,30,15,0,0,no
604,no,40005,31,12,1,0,no
605,no,132984,31,12,2,0,no
606,yes,38268,33,9,1,1,no
607,no,48737,35,12,0,2,no
608,yes,25324,26,11,0,0,no
609,no,51832,24,14,1,0,no
610,no,57662,61,5,0,0,no
611,no,46988,29,10,0,1,no
612,yes,14108,59,8,0,0,no
613,no,36522,27,12,1,0,no
614,no,19072,62,11,0,0,no
615,yes,48578,44,12,0,0,no
616,yes,42311,36,10,0,0,no
617,no,37797,40,11,0,2,no
618,no,84103,48,10,0,1,no
619,yes,74925,35,16,0,2,no
620,no,66780,32,12,1,1,no
621,no,52386,32,12,1,0,no
622,no,72164,49,8,0,0,no
623,yes,26696,43,11,0,1,no
624,no,236961,39,12,0,4,no
625,no,35330,27,11,1,1,no
626,no,215675,42,12,0,3,no
627,no,37685,56,12,0,1,no
628,no,54136,31,13,0,3,no
629,yes,42562,37,4,0,2,no
630,no,34260,38,8,0,1,no
631,no,33112,51,8,0,0,no
632,no,44098,50,9,0,0,no
633,no,19656,60,5,0,0,no
634,yes,35575,35,9,0,2,no
635,yes,64345,35,11,0,2,no
636,yes,34731,45,8,0,2,no
637,no,42505,24,11,2,0,no
638,no,34632,35,8,1,1,no
639,yes,33126,32,17,1,0,no
640,yes,28058,33,12,0,2,no
641,no,39904,46,8,0,1,no
642,no,128548,50,5,0,2,no
643,no,50428,32,12,0,0,no
644,no,28446,58,8,0,0,no
645,no,44520,41,8,0,2,no
646,no,55009,34,6,0,2,no
647,no,37152,21,4,1,0,no
648,no,28892,56,13,0,0,no
649,no,27624,34,8,0,3,no
650,no,28736,37,10,0,1,no
651,no,60894,31,12,0,1,no
652,no,40453,22,11,1,0,no
653,no,44872,32,11,1,1,no
654,yes,50598,41,8,0,3,no
655,no,47077,37,12,0,4,no
656,no,39807,29,10,0,0,no
657,yes,40784,46,9,0,1,yes
658,yes,32577,26,7,2,0,yes
659,yes,48800,44,9,0,0,yes
660,yes,32225,48,4,0,0,yes
661,yes,38741,34,4,0,3,yes
662,no,44280,34,12,1,2,yes
663,no,40544,48,5,0,0,yes
664,yes,43664,28,6,1,2,yes
665,yes,41229,32,5,0,2,yes
666,yes,33178,50,4,0,3,yes
667,yes,37947,36,5,2,1,yes
668,yes,75333,50,12,0,0,yes
669,no,36450,25,11,2,0,yes
670,yes,44193,30,11,3,0,yes
671,yes,33574,25,5,0,2,yes
672,yes,39857,32,8,1,1,yes
673,yes,37462,29,10,1,1,yes
674,no,39593,44,7,0,2,yes
675,yes,34463,40,5,0,3,yes
676,no,41496,52,12,0,0,yes
677,yes,40909,27,8,2,1,yes
678,yes,49756,32,8,0,1,yes
679,no,41510,30,12,2,0,yes
680,yes,36146,40,5,0,1,yes
681,yes,43953,47,4,0,0,yes
682,yes,32509,48,4,0,1,yes
683,yes,36551,36,6,0,1,yes
684,yes,49317,38,10,0,1,yes
685,yes,40363,38,3,0,1,yes
686,no,34187,48,11,0,0,yes
687,yes,33608,41,7,0,0,yes
688,yes,34096,39,4,0,2,yes
689,no,41395,31,9,2,0,yes
690,no,56695,32,7,0,2,yes
691,no,54335,41,4,1,1,yes
692,yes,44630,36,5,0,2,yes
693,yes,38874,38,3,0,3,yes
694,yes,28425,57,3,0,0,yes
695,yes,39256,34,8,0,2,yes
696,yes,38663,42,5,0,3,yes
697,yes,54055,32,11,0,0,yes
698,yes,26415,48,5,0,2,yes
699,yes,32584,22,9,2,0,yes
700,no,38226,31,8,0,2,yes
701,yes,39097,26,4,0,0,yes
702,yes,43839,43,11,0,1,yes
703,yes,35841,44,4,0,2,yes
704,yes,24543,45,4,0,1,yes
705,yes,41705,29,5,1,1,yes
706,yes,31838,46,4,0,0,yes
707,yes,43417,31,5,1,1,yes
708,yes,40095,21,11,0,0,yes
709,yes,70629,41,12,0,1,yes
710,no,40710,28,8,1,2,yes
711,no,44595,39,2,1,0,yes
712,yes,33963,45,3,0,1,yes
713,no,30383,49,4,0,1,yes
714,yes,39116,42,10,0,2,yes
715,no,16939,59,4,0,0,yes
716,yes,40124,54,5,0,0,yes
717,yes,29067,33,7,0,3,yes
718,no,35341,24,9,1,1,yes
719,yes,31241,35,5,0,0,yes
720,yes,38533,49,8,0,0,yes
721,no,39648,48,5,1,2,yes
722,yes,31681,41,5,0,0,yes
723,yes,33591,37,5,0,2,yes
724,yes,35341,38,9,0,4,yes
725,yes,38624,42,7,0,1,yes
726,no,107741,46,11,0,1,yes
727,yes,34923,33,5,0,2,yes
728,no,109150,55,15,0,0,yes
729,yes,35045,50,5,0,2,yes
730,yes,32197,22,6,1,0,yes
731,no,36369,40,5,0,2,yes
732,no,36564,47,5,0,1,yes
733,yes,41290,50,10,0,0,yes
734,yes,40549,28,8,0,2,yes
735,no,40646,39,5,0,3,yes
736,yes,44223,36,12,0,2,yes
737,yes,44819,39,4,0,2,yes
738,yes,34100,48,4,0,0,yes
739,no,38880,29,5,2,0,yes
740,yes,38489,46,5,0,0,yes
741,yes,32175,58,5,0,0,yes
742,no,35458,25,5,1,0,yes
743,no,40270,29,5,1,2,yes
744,yes,35989,21,11,0,0,yes
745,yes,40138,31,5,0,1,yes
746,yes,37665,35,4,0,2,yes
747,yes,50584,30,5,0,2,yes
748,yes,34947,31,8,1,0,yes
749,yes,36006,34,12,1,1,yes
750,yes,34357,28,11,3,0,yes
751,yes,37458,41,2,0,2,yes
752,no,77241,59,8,0,0,yes
753,yes,41951,27,9,1,2,yes
754,no,68467,54,16,0,0,yes
755,no,70513,40,11,1,1,yes
756,yes,46544,35,7,0,1,yes
757,yes,33662,39,5,0,3,yes
758,no,31517,43,5,0,2,yes
759,yes,38053,36,8,0,2,yes
760,yes,26045,46,4,0,0,yes
761,yes,27789,44,4,0,0,yes
762,yes,33357,44,6,0,0,yes
763,yes,12578,29,1,2,0,yes
764,yes,37274,32,10,1,2,yes
765,yes,26088,55,5,0,0,yes
766,yes,32977,34,5,0,2,yes
767,yes,32072,37,8,1,1,yes
768,yes,36976,26,5,0,1,yes
769,no,72963,38,12,0,1,yes
770,no,32455,45,8,0,1,yes
771,no,39821,34,8,0,2,yes
772,yes,38332,36,6,0,2,yes
773,yes,39809,26,10,0,2,yes
774,yes,33060,40,5,1,1,yes
775,no,43484,40,9,0,1,yes
776,no,10741,57,5,0,0,yes
777,no,37418,25,8,2,0,yes
778,yes,37215,30,8,0,1,yes
779,yes,42008,25,7,1,1,yes
780,yes,40552,43,2,0,2,yes
781,no,80233,46,10,0,1,yes
782,no,36839,26,7,1,1,yes
783,yes,31701,23,4,1,0,yes
784,yes,43398,32,8,0,2,yes
785,yes,43333,34,13,0,2,yes
786,yes,34610,33,3,1,1,yes
787,yes,36095,25,6,0,1,yes
788,yes,56036,39,11,0,2,yes
789,yes,27459,32,9,1,0,yes
790,yes,29119,47,5,0,0,yes
