Age,Agency_Code,Type,Claimed,Commision,Channel,Duration,Sales,Product Name,Destination
20,EPX,Travel Agency,No,0,Online,9,10,Cancellation Plan,ASIA
31,CWT,Travel Agency,No,17.82,Online,33,29.7,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,3,12,Cancellation Plan,ASIA
29,CWT,Travel Agency,No,77.22,Online,46,128.7,Customised Plan,Americas
37,CWT,Travel Agency,No,11.88,Online,19,19.8,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,6,32,Cancellation Plan,ASIA
31,CWT,Travel Agency,No,11.88,Online,2,19.8,Customised Plan,EUROPE
36,EPX,Travel Agency,No,0,Online,5,20,Customised Plan,ASIA
53,JZI,Airlines,No,12.95,Online,93,0,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,35,80,Cancellation Plan,ASIA
44,CWT,Travel Agency,Yes,149.37,Online,366,229.8,Silver Plan,Americas
29,JZI,Airlines,No,12.25,Online,14,35,Bronze Plan,ASIA
38,EPX,Travel Agency,Yes,0,Online,56,20,Customised Plan,ASIA
31,CWT,Travel Agency,Yes,23.76,Online,24,39.6,Customised Plan,ASIA
28,EPX,Travel Agency,No,0,Online,46,82,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,16,10,Cancellation Plan,ASIA
28,CWT,Travel Agency,Yes,41.58,Online,36,191,Customised Plan,EUROPE
36,EPX,Travel Agency,Yes,0,Online,6,17,Cancellation Plan,ASIA
68,EPX,Travel Agency,No,0,Online,50,87,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,2,38,Cancellation Plan,ASIA
30,CWT,Travel Agency,No,29.7,Online,56,49.5,Customised Plan,EUROPE
68,CWT,Travel Agency,No,27.3,Online,5,42,Gold Plan,ASIA
36,EPX,Travel Agency,No,0,Online,5,15,Cancellation Plan,ASIA
53,CWT,Travel Agency,No,17.82,Online,35,29.7,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,43,49,Customised Plan,ASIA
22,CWT,Travel Agency,No,28.5,Online,34,75,Bronze Plan,EUROPE
25,C2B,Airlines,No,4.5,Online,5,18,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,2,82,Customised Plan,ASIA
36,C2B,Airlines,No,5.85,Online,11,23.4,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,3,24,Cancellation Plan,EUROPE
36,EPX,Travel Agency,No,0,Online,8,60,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,99,80,Cancellation Plan,EUROPE
34,EPX,Travel Agency,No,0,Online,19,19,Cancellation Plan,ASIA
31,CWT,Travel Agency,No,11.88,Online,13,19.8,Customised Plan,Americas
48,CWT,Travel Agency,No,41.42,Online,33,109,Bronze Plan,EUROPE
79,CWT,Travel Agency,No,10.5,Offline,22,30,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,3,24,Customised Plan,ASIA
53,CWT,Travel Agency,No,17.82,Online,4,29.7,Customised Plan,EUROPE
47,CWT,Travel Agency,No,41.58,Online,23,69.3,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,2,0,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,135,15,Cancellation Plan,ASIA
40,C2B,Airlines,Yes,20.13,Online,382,80.5,Bronze Plan,ASIA
44,CWT,Travel Agency,Yes,49.73,Online,31,167,Gold Plan,EUROPE
36,EPX,Travel Agency,No,0,Online,47,20,Customised Plan,ASIA
19,CWT,Travel Agency,No,10.5,Offline,22,30,Customised Plan,ASIA
40,C2B,Airlines,Yes,54,Online,364,216,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,40,31,Customised Plan,ASIA
40,C2B,Airlines,No,4.25,Online,16,17,Bronze Plan,ASIA
21,EPX,Travel Agency,No,0,Online,23,29,Cancellation Plan,Americas
25,C2B,Airlines,No,48.42,Online,74,193.7,Bronze Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,27,33,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,34,61,Customised Plan,ASIA
50,C2B,Airlines,No,5.38,Online,3,21.5,Gold Plan,ASIA
25,C2B,Airlines,Yes,13.63,Online,13,54.5,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,81,20,Customised Plan,ASIA
66,CWT,Travel Agency,No,10.5,Offline,47,30,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,14,20,Customised Plan,ASIA
24,C2B,Airlines,Yes,9.75,Online,11,39,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,11,35,Customised Plan,ASIA
25,CWT,Travel Agency,No,53.46,Online,43,89.1,Customised Plan,EUROPE
32,C2B,Airlines,Yes,13.63,Online,13,54.5,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,7,112,Customised Plan,ASIA
39,C2B,Airlines,Yes,22,Online,16,88,Gold Plan,ASIA
53,CWT,Travel Agency,Yes,106.92,Online,64,178.2,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,59,28,Customised Plan,ASIA
31,CWT,Travel Agency,Yes,83.16,Online,21,138.6,Customised Plan,EUROPE
60,JZI,Airlines,No,6.3,Online,18,18,Bronze Plan,ASIA
40,CWT,Travel Agency,No,47.52,Online,53,79.2,Customised Plan,Americas
40,CWT,Travel Agency,No,23.76,Online,10,39.6,Customised Plan,EUROPE
36,EPX,Travel Agency,Yes,0,Online,56,24,Customised Plan,ASIA
28,C2B,Airlines,No,54,Online,365,26,Silver Plan,ASIA
23,C2B,Airlines,Yes,69.71,Online,379,278.85,Gold Plan,ASIA
23,EPX,Travel Agency,No,0,Online,22,11,Cancellation Plan,ASIA
41,C2B,Airlines,Yes,64.8,Online,365,259.2,Silver Plan,ASIA
69,CWT,Travel Agency,No,41.58,Online,26,69.3,Customised Plan,Americas
37,EPX,Travel Agency,No,0,Online,3,20,Customised Plan,ASIA
24,CWT,Travel Agency,No,36.4,Online,22,56,Gold Plan,Americas
28,EPX,Travel Agency,No,0,Online,5,74,Customised Plan,Americas
28,CWT,Travel Agency,No,0,Offline,367,97,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,9,48,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,9,43,Cancellation Plan,ASIA
31,C2B,Airlines,No,5,Online,13,20,Bronze Plan,ASIA
20,JZI,Airlines,No,12.25,Online,26,35,Bronze Plan,ASIA
31,CWT,Travel Agency,No,17.82,Online,27,29.7,Customised Plan,Americas
36,C2B,Airlines,Yes,9.75,Online,70,39,Silver Plan,ASIA
37,JZI,Airlines,No,9.1,Online,56,26,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,152,50,Cancellation Plan,EUROPE
35,JZI,Airlines,No,15.4,Online,61,44,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,112,60,Cancellation Plan,EUROPE
27,C2B,Airlines,Yes,40.25,Online,380,161,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,42,26,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,42,58,Cancellation Plan,Americas
36,EPX,Travel Agency,No,0,Online,189,78,Cancellation Plan,EUROPE
47,CWT,Travel Agency,No,23.76,Online,35,39.6,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,77,41,Customised Plan,ASIA
51,C2B,Airlines,Yes,63.21,Online,365,252.85,Silver Plan,ASIA
68,EPX,Travel Agency,No,0,Online,60,29,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,30,21,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,15,20,Customised Plan,ASIA
48,C2B,Airlines,No,3.8,Online,14,13.57,Customised Plan,ASIA
46,CWT,Travel Agency,No,17.82,Online,29,29.7,Customised Plan,EUROPE
42,C2B,Airlines,Yes,54,Online,364,216,Silver Plan,ASIA
47,EPX,Travel Agency,No,0,Online,18,20,Customised Plan,ASIA
28,EPX,Travel Agency,No,0,Online,41,20,Customised Plan,ASIA
25,C2B,Airlines,Yes,6.75,Online,11,27,Bronze Plan,ASIA
44,C2B,Airlines,Yes,4.25,Online,7,17,Bronze Plan,ASIA
31,C2B,Airlines,Yes,12.13,Online,12,48.5,Silver Plan,ASIA
21,C2B,Airlines,No,7.38,Online,23,29.5,Silver Plan,ASIA
27,CWT,Travel Agency,No,17.82,Online,16,29.7,Customised Plan,Americas
52,JZI,Airlines,No,10.5,Online,18,30,Bronze Plan,ASIA
40,CWT,Travel Agency,No,23.76,Online,32,39.6,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,13,30,Customised Plan,EUROPE
44,JZI,Airlines,No,6.3,Online,6,18,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,9,112,Customised Plan,ASIA
43,EPX,Travel Agency,No,0,Online,11,20,Customised Plan,ASIA
45,C2B,Airlines,Yes,63.21,Online,379,252.85,Silver Plan,ASIA
32,C2B,Airlines,Yes,126.75,Online,90,507,Silver Plan,ASIA
38,EPX,Travel Agency,Yes,0,Online,40,58,Cancellation Plan,Americas
36,EPX,Travel Agency,No,0,Online,39,156,Customised Plan,ASIA
68,CWT,Travel Agency,No,9.57,Offline,89,29,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,3,10,Cancellation Plan,ASIA
31,CWT,Travel Agency,No,41.58,Online,96,69.3,Customised Plan,Americas
36,EPX,Travel Agency,Yes,0,Online,75,63,Customised Plan,ASIA
39,CWT,Travel Agency,Yes,210.21,Online,368,323.4,Gold Plan,Americas
34,C2B,Airlines,Yes,8.88,Online,26,35.5,Silver Plan,ASIA
45,JZI,Airlines,No,9.1,Online,11,26,Bronze Plan,ASIA
50,EPX,Travel Agency,No,0,Online,16,80,Cancellation Plan,Americas
30,JZI,Airlines,No,6.3,Online,13,18,Bronze Plan,ASIA
29,CWT,Travel Agency,No,23.76,Online,18,39.6,Customised Plan,Americas
45,JZI,Airlines,No,9.1,Online,7,26,Bronze Plan,ASIA
32,C2B,Airlines,No,63.21,Online,368,252.85,Silver Plan,ASIA
41,EPX,Travel Agency,Yes,0,Online,8,30,Customised Plan,ASIA
33,C2B,Airlines,No,5,Online,6,20,Bronze Plan,ASIA
34,C2B,Airlines,No,54,Online,365,216,Silver Plan,ASIA
57,JZI,Airlines,Yes,9.1,Online,9,26,Bronze Plan,ASIA
35,C2B,Airlines,Yes,63.21,Online,368,252.85,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,9,37,Customised Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,95,20,Customised Plan,ASIA
25,C2B,Airlines,Yes,31.2,Online,25,78,Bronze Plan,ASIA
48,C2B,Airlines,No,2.66,Online,2,7.6,Customised Plan,ASIA
33,C2B,Airlines,No,4,Online,3,48,Bronze Plan,ASIA
29,EPX,Travel Agency,No,0,Online,17,35,Customised Plan,ASIA
45,C2B,Airlines,No,10.38,Online,383,41.5,Silver Plan,ASIA
36,C2B,Airlines,No,18,Online,62,72,Silver Plan,ASIA
53,C2B,Airlines,Yes,72.94,Online,374,291.75,Silver Plan,ASIA
48,C2B,Airlines,Yes,54,Online,367,216,Silver Plan,ASIA
48,C2B,Airlines,No,0.29,Online,367,1.03,Customised Plan,ASIA
35,EPX,Travel Agency,No,0,Online,2,20,Customised Plan,ASIA
32,C2B,Airlines,No,4,Online,4,16,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,42,22,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,24,25,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,10,34,Customised Plan,ASIA
59,EPX,Travel Agency,No,0,Online,46,17,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,60,206,Cancellation Plan,EUROPE
41,JZI,Airlines,No,24.15,Online,34,69,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,4,10,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,8,10,Cancellation Plan,ASIA
27,EPX,Travel Agency,Yes,0,Online,55,166,Cancellation Plan,Americas
50,C2B,Airlines,No,63.21,Online,374,252.85,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,18,27,Cancellation Plan,ASIA
27,C2B,Airlines,Yes,54,Online,401,216,Silver Plan,ASIA
33,C2B,Airlines,Yes,54,Online,365,216,Silver Plan,ASIA
63,JZI,Airlines,No,7.7,Online,6,22,Bronze Plan,ASIA
30,EPX,Travel Agency,No,0,Online,32,32,Customised Plan,ASIA
32,C2B,Airlines,Yes,46.96,Online,365,187.85,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,27,28,Cancellation Plan,ASIA
57,C2B,Airlines,No,5,Online,11,20,Bronze Plan,ASIA
53,C2B,Airlines,No,5.63,Online,6,22.5,Silver Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,90,46,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,17,43,Cancellation Plan,ASIA
31,CWT,Travel Agency,No,5.94,Online,6,9.9,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,13,203,Cancellation Plan,ASIA
44,JZI,Airlines,No,15.4,Online,25,44,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,145,35,Cancellation Plan,ASIA
39,C2B,Airlines,No,40.25,Online,366,161,Silver Plan,ASIA
23,C2B,Airlines,No,20,Online,9,50,Bronze Plan,ASIA
25,EPX,Travel Agency,No,0,Online,21,10,Cancellation Plan,ASIA
37,JZI,Airlines,No,10.5,Online,62,30,Bronze Plan,ASIA
56,CWT,Travel Agency,Yes,59.4,Online,13,99,Customised Plan,EUROPE
36,EPX,Travel Agency,No,0,Online,4,33,Cancellation Plan,ASIA
39,C2B,Airlines,Yes,5.88,Online,6,23.5,Bronze Plan,ASIA
47,C2B,Airlines,No,22.13,Online,38,88.5,Silver Plan,ASIA
47,EPX,Travel Agency,No,0,Online,3,35,Customised Plan,ASIA
33,C2B,Airlines,Yes,18,Online,50,72,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,35,11,Cancellation Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,24,21,Customised Plan,ASIA
53,C2B,Airlines,Yes,13.63,Online,30,54.5,Silver Plan,ASIA
42,C2B,Airlines,Yes,12.13,Online,13,48.5,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,39,26,Cancellation Plan,ASIA
57,C2B,Airlines,No,83.25,Online,366,333,Gold Plan,ASIA
35,EPX,Travel Agency,No,0,Online,3,20,Customised Plan,ASIA
30,EPX,Travel Agency,Yes,0,Online,50,112,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,60,34,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,5,20,Cancellation Plan,ASIA
44,C2B,Airlines,Yes,63.21,Online,364,252.85,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,35,10,Cancellation Plan,ASIA
25,C2B,Airlines,No,12.4,Online,5,31,Bronze Plan,ASIA
43,JZI,Airlines,No,24.15,Online,33,69,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,13,20,Customised Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,80,32,Customised Plan,ASIA
54,CWT,Travel Agency,No,100.98,Online,18,0,Customised Plan,Americas
22,C2B,Airlines,Yes,3.38,Online,16,13.5,Bronze Plan,ASIA
32,C2B,Airlines,No,10.5,Online,83,42,Silver Plan,ASIA
39,JZI,Airlines,Yes,7.7,Online,27,22,Bronze Plan,ASIA
30,EPX,Travel Agency,No,0,Online,28,185,Cancellation Plan,Americas
46,JZI,Airlines,Yes,48.3,Online,25,138,Bronze Plan,Americas
36,EPX,Travel Agency,No,0,Online,5,20,Customised Plan,ASIA
39,CWT,Travel Agency,No,59.4,Online,11,99,Customised Plan,Americas
33,C2B,Airlines,No,6.13,Online,4,24.5,Silver Plan,ASIA
24,EPX,Travel Agency,No,0,Online,42,24,Cancellation Plan,ASIA
37,CWT,Travel Agency,No,17.82,Online,18,29.7,Customised Plan,ASIA
26,EPX,Travel Agency,No,0,Online,32,21,Customised Plan,ASIA
64,CWT,Travel Agency,No,23.76,Online,22,39.6,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,40,74,Customised Plan,Americas
42,C2B,Airlines,Yes,5,Online,9,20,Bronze Plan,ASIA
71,C2B,Airlines,No,12.75,Online,7,51,Gold Plan,ASIA
46,JZI,Airlines,No,15.75,Online,9,45,Bronze Plan,ASIA
22,C2B,Airlines,Yes,11.88,Online,14,190,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,2,20,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,15,23,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,1,47,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,52,11,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,114,31,Cancellation Plan,ASIA
30,C2B,Airlines,No,6,Online,4,15,Bronze Plan,ASIA
24,CWT,Travel Agency,No,23.76,Online,63,39.6,Customised Plan,Americas
20,EPX,Travel Agency,Yes,0,Online,8,23,Customised Plan,ASIA
35,CWT,Travel Agency,No,11.88,Online,6,19.8,Customised Plan,ASIA
44,JZI,Airlines,Yes,6.3,Online,39,205,Bronze Plan,ASIA
41,CWT,Travel Agency,No,47.52,Online,31,79.2,Customised Plan,Americas
35,EPX,Travel Agency,No,0,Online,49,12,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,20,67,Cancellation Plan,Americas
36,EPX,Travel Agency,No,0,Online,10,28,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,14,10,Cancellation Plan,EUROPE
38,CWT,Travel Agency,No,23.76,Online,5,39.6,Customised Plan,ASIA
51,JZI,Airlines,No,7.7,Online,21,41,Bronze Plan,ASIA
46,C2B,Airlines,Yes,18,Online,16,72,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,26,24,Customised Plan,ASIA
48,C2B,Airlines,No,5.98,Online,32,21.35,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,50,20,Customised Plan,ASIA
37,CWT,Travel Agency,No,65.34,Online,69,108.9,Customised Plan,Americas
44,CWT,Travel Agency,No,47.52,Online,67,49,Customised Plan,Americas
23,CWT,Travel Agency,Yes,24.38,Online,17,37.5,Gold Plan,ASIA
35,JZI,Airlines,No,10.5,Online,32,30,Bronze Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,42,44,Customised Plan,ASIA
