ID,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
182521,T. Kroos,28,Germany,90,90,76500000,355000,Right,4,5,3,Medium/ Medium,Normal,LCM,8,17-Jul-14,2022,6,168,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10
182493,D. Godín,32,Uruguay,90,90,44000000,125000,Right,3,3,2,Medium/ High,Lean,CB,10,04-Aug-10,2019,6.2,172,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15
168542,David Silva,32,Spain,90,90,60000000,285000,Left,4,2,4,High/ Medium,Normal,LCM,21,14-Jul-10,2020,5.8,148,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12
215914,N. Kanté,27,France,89,90,63000000,225000,Right,3,3,2,Medium/ High,Lean,LDM,13,16-Jul-16,2023,5.6,159,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10
211110,P. Dybala,24,Argentina,89,94,89000000,205000,Left,3,3,4,High/ Medium,Normal,LF,21,01-Jul-15,2022,5.1,165,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8
202126,H. Kane,24,England,89,91,83500000,205000,Right,3,4,3,High/ High,Normal,ST,9,01-Jul-10,2024,6.2,196,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11
194765,A. Griezmann,27,France,89,90,78000000,145000,Left,4,3,4,High/ High,Lean,CAM,7,28-Jul-14,2023,5.9,161,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14
192448,M. ter Stegen,26,Germany,89,92,58000000,240000,Right,3,4,1,Medium/ Medium,Normal,GK,22,01-Jul-14,2022,6.2,187,15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90
192119,T. Courtois,26,Belgium,89,90,53500000,240000,Left,4,2,1,Medium/ Medium,Courtois,GK,1,09-Aug-18,2024,6.6,212,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,85,91,72,86,88
189511,Sergio Busquets,29,Spain,89,89,51500000,315000,Right,4,3,3,Medium/ Medium,Lean,CDM,5,01-Sep-08,2023,6.2,168,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13
179813,E. Cavani,31,Uruguay,89,89,60000000,200000,Right,4,4,3,High/ High,Lean,LS,21,16-Jul-13,2020,6.1,170,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10
167495,M. Neuer,32,Germany,89,89,38000000,130000,Right,5,4,1,Medium/ Medium,Normal,GK,1,01-Jul-11,2021,6.4,203,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,90,86,91,87,87
153079,S. Agüero,30,Argentina,89,89,64500000,300000,Right,4,4,4,High/ Medium,Stocky,ST,10,28-Jul-11,2021,5.8,154,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14
138956,G. Chiellini,33,Italy,89,89,27000000,215000,Left,4,3,2,Medium/ High,Normal,LCB,3,01-Jul-05,2020,6.2,187,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3
231747,K. Mbappé,19,France,88,95,81000000,100000,Right,3,4,5,High/ Medium,Lean,RM,10,01-Jul-18,2022,5.1,161,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6
209331,M. Salah,26,Egypt,88,89,69500000,255000,Left,3,3,4,High/ Medium,PLAYER_BODY_TYPE_25,RM,10,01-Jul-17,2023,5.9,157,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14
200145,Casemiro,26,Brazil,88,90,59500000,285000,Right,3,3,2,Medium/ High,Normal,CDM,14,11-Jul-13,2021,6.1,185,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12
198710,J. Rodríguez,26,Colombia,88,89,69500000,315000,Left,4,3,4,Medium/ Medium,Normal,LAM,10,,2019,5.11,172,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14
198219,L. Insigne,27,Italy,88,88,62000000,165000,Right,3,3,4,High/ Medium,Normal,LW,10,01-Jul-10,2022,5.4,130,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10
197781,Isco,26,Spain,88,91,73500000,315000,Right,3,3,4,High/ Medium,Normal,LW,22,03-Jul-13,2022,5.9,174,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6
190460,C. Eriksen,26,Denmark,88,91,73500000,205000,Right,3,5,4,High/ Medium,Lean,CAM,10,30-Aug-13,2020,5.11,168,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6
189242,Coutinho,26,Brazil,88,89,69500000,340000,Right,3,4,5,High/ High,Normal,LW,7,06-Jan-18,2023,5.8,150,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6
188567,P. Aubameyang,29,Gabon,88,88,59000000,265000,Right,3,4,4,Medium/ Low,Lean,LM,14,31-Jan-18,2021,6.2,176,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9
178603,M. Hummels,29,Germany,88,88,46000000,160000,Right,4,3,3,High/ Medium,Normal,LCB,5,01-Jul-16,2021,6.3,203,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6
176676,Marcelo,30,Brazil,88,88,43000000,285000,Left,4,4,5,High/ Low,Normal,LB,12,01-Jan-07,2022,5.9,176,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9
173731,G. Bale,28,Wales,88,88,60000000,355000,Left,4,3,4,High/ Medium,Lean,ST,11,02-Sep-13,2022,6.1,181,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6
167948,H. Lloris,31,France,88,88,36000000,150000,Left,4,1,1,Medium/ Medium,Lean,GK,1,01-Aug-12,2022,6.2,181,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92
167664,G. Higuaín,30,Argentina,88,88,57000000,245000,Right,4,4,3,High/ Medium,Normal,LS,9,,2019,6.1,196,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10
164240,Thiago Silva,33,Brazil,88,88,24000000,165000,Right,4,3,2,Medium/ High,Normal,RCB,2,01-Jul-12,2020,6,181,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10
162835,S. Handanovič,33,Slovenia,88,88,30000000,110000,Right,3,2,1,Medium/ Medium,Normal,GK,1,01-Jul-12,2021,6.4,203,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,87,86,69,89,89
1179,G. Buffon,40,Italy,88,88,4000000,77000,Right,4,2,1,Medium/ Medium,Normal,GK,1,06-Jul-18,2019,6.4,203,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,88,87,74,90,83
205600,S. Umtiti,24,France,87,92,57000000,205000,Left,3,3,2,Medium/ High,Normal,CB,23,12-Jul-16,2023,6,165,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15
201399,M. Icardi,25,Argentina,87,90,64500000,130000,Right,3,4,3,Medium/ Low,Normal,ST,9,09-Jul-13,2021,5.11,165,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9
201024,K. Koulibaly,27,Senegal,87,90,51000000,115000,Right,3,3,2,High/ High,Normal,LCB,26,01-Jul-14,2021,6.2,196,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5
195864,P. Pogba,25,France,87,91,64000000,210000,Right,4,4,5,High/ Low,Normal,RDM,6,09-Aug-16,2021,6.4,185,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3
193041,K. Navas,31,Costa Rica,87,87,30500000,195000,Right,3,3,1,Medium/ Medium,Normal,GK,1,03-Aug-14,2020,6.1,176,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
192505,R. Lukaku,25,Belgium,87,89,62500000,230000,Left,3,3,3,Medium/ Medium,Stocky,ST,9,10-Jul-17,2022,6.3,207,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10
192387,C. Immobile,28,Italy,87,87,52000000,115000,Right,3,4,3,High/ Medium,Normal,ST,17,27-Jul-16,2023,6.1,187,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6
189332,Jordi Alba,29,Spain,87,87,38000000,250000,Left,3,3,3,High/ Medium,Normal,LB,18,01-Jul-12,2020,5.7,150,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13
175943,D. Mertens,31,Belgium,87,87,45000000,135000,Right,3,4,4,High/ Low,Normal,RF,14,01-Jul-13,2020,5.7,134,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4
172871,J. Vertonghen,31,Belgium,87,87,34000000,155000,Left,3,3,3,High/ High,Normal,LCB,5,01-Jul-12,2019,6.2,190,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7
171877,M. Hamšík,30,Slovakia,87,87,46500000,125000,Right,3,5,3,High/ Medium,Normal,LCM,17,01-Jul-07,2020,6,174,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14
168651,I. Rakitić,30,Croatia,87,87,46500000,260000,Right,4,3,3,High/ High,Normal,RCM,4,01-Jul-14,2021,6,172,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9
152729,Piqué,31,Spain,87,87,34000000,240000,Right,4,3,2,High/ Medium,Normal,RCB,3,01-Jul-08,2022,6.4,187,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8
222492,L. Sané,22,Germany,86,92,61000000,195000,Left,2,3,4,High/ Medium,Lean,LW,19,02-Aug-16,2021,6,165,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14
218667,Bernardo Silva,23,Portugal,86,91,59500000,180000,Left,2,3,4,High/ Medium,Lean,RW,11,01-Jul-17,2022,5.8,141,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9
210257,Ederson,24,Brazil,86,90,41500000,125000,Left,2,3,1,Medium/ Medium,Normal,GK,31,01-Jul-17,2025,6.2,190,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,85,80,91,82,87
208722,S. Mané,26,Senegal,86,87,52000000,195000,Right,3,4,4,High/ Medium,Lean,LM,10,01-Jul-16,2023,5.9,152,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14
203376,V. van Dijk,26,Netherlands,86,88,44500000,165000,Right,3,3,2,Medium/ Medium,Normal,LCB,4,01-Jan-18,2023,6.4,203,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11
202652,R. Sterling,23,England,86,89,56500000,195000,Right,3,3,4,High/ Medium,Lean,RW,10,14-Jul-15,2023,5.7,152,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9
201942,Roberto Firmino,26,Brazil,86,87,53000000,195000,Right,3,4,4,High/ High,Lean,CAM,9,06-Jul-15,2023,5.11,168,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10
201535,R. Varane,25,France,86,91,50000000,210000,Right,3,3,2,Medium/ High,Lean,RCB,4,01-Jul-11,2022,6.3,179,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14
199556,M. Verratti,25,Italy,86,89,55000000,135000,Right,3,4,4,Medium/ High,Normal,LCM,6,18-Jul-12,2021,5.5,132,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10
191043,Alex Sandro,27,Brazil,86,86,36500000,160000,Left,3,3,3,High/ High,Normal,LB,12,21-Aug-15,2020,5.11,176,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5
190483,Douglas Costa,27,Brazil,86,86,46500000,175000,Left,3,3,5,High/ Medium,Normal,LM,11,01-Jul-18,2022,5.8,154,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5
189596,T. Müller,28,Germany,86,86,45000000,135000,Right,4,4,3,High/ High,Lean,CAM,13,10-Aug-08,2021,6.1,165,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14
189509,Thiago,27,Spain,86,86,45500000,130000,Right,3,3,5,Medium/ Medium,Normal,CM,19,14-Jul-13,2021,5.9,154,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13
188350,M. Reus,29,Germany,86,86,43500000,100000,Right,4,4,4,High/ Medium,Lean,LM,11,01-Jul-12,2023,5.11,157,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11
184432,Azpilicueta,28,Spain,86,86,35000000,175000,Right,3,3,2,Medium/ Medium,Normal,RB,14,24-Aug-12,2022,5.1,168,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5
184344,L. Bonucci,31,Italy,86,86,30000000,160000,Right,3,3,2,Low/ High,Lean,RCB,19,02-Aug-18,2023,6.3,187,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4
184087,T. Alderweireld,29,Belgium,86,87,39000000,150000,Right,3,3,2,Medium/ Medium,Normal,RCB,2,08-Jul-15,2020,6.1,179,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14
180206,M. Pjanić,28,Bosnia Herzegovina,86,86,44000000,180000,Right,3,4,3,Medium/ Medium,Normal,CDM,5,01-Jul-16,2023,5.1,159,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8
177509,M. Benatia,31,Morocco,86,86,30000000,160000,Right,3,3,2,Medium/ High,Normal,CB,4,26-Aug-14,2020,6.2,207,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11
176635,M. Özil,29,Germany,86,86,43500000,190000,Left,4,2,4,Medium/ Low,Lean,CAM,10,02-Sep-13,2021,5.11,168,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14
135507,Fernandinho,33,Brazil,86,86,18000000,185000,Right,3,4,3,Medium/ High,Lean,CDM,25,01-Jul-13,2020,5.1,148,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7
41,Iniesta,34,Spain,86,86,21500000,21000,Right,4,4,4,High/ Medium,Normal,LF,8,16-Jul-18,2021,5.7,150,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7
232363,M. Škriniar,23,Slovakia,85,92,46500000,82000,Right,1,4,2,Medium/ High,Normal,LCB,37,07-Jul-17,2022,6.2,176,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12
223848,S. Milinković-Savić,23,Serbia,85,90,50500000,73000,Right,2,4,4,High/ Medium,Normal,CM,21,06-Aug-15,2023,6.3,168,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7
220834,Marco Asensio,22,Spain,85,92,54000000,215000,Left,3,3,4,High/ Medium,Normal,RW,10,01-Jul-15,2023,6,168,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10
216594,N. Fekir,24,France,85,89,50000000,92000,Left,3,3,4,High/ Medium,Stocky,CAM,18,01-Jul-13,2020,5.8,165,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15
212831,Alisson,25,Brazil,85,90,36500000,115000,Right,3,3,1,Medium/ Medium,Normal,GK,13,19-Jul-18,2024,6.3,201,17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,83,81,85,84,88
212622,J. Kimmich,23,Germany,85,88,40500000,92000,Right,3,4,3,High/ Low,Lean,RCM,18,01-Jul-15,2023,5.9,154,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15
208421,Saúl,23,Spain,85,90,50500000,77000,Left,3,4,3,High/ High,Lean,RCM,6,01-Jul-13,2026,6,170,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9
204485,R. Mahrez,27,Algeria,85,85,40500000,205000,Left,3,4,5,Medium/ Medium,Lean,RW,26,10-Jul-18,2023,5.1,148,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6
197445,D. Alaba,26,Austria,85,87,38000000,110000,Left,4,4,3,High/ Medium,Lean,LB,8,10-Feb-10,2021,5.11,168,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9
193747,Koke,26,Spain,85,86,45000000,88000,Right,3,4,3,High/ High,Normal,LM,8,01-Jan-11,2019,5.9,163,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13
193301,A. Lacazette,27,France,85,86,45000000,180000,Right,3,4,4,High/ High,Normal,ST,9,05-Jul-17,2022,5.9,161,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6
192774,K. Manolas,27,Greece,85,87,37500000,96000,Right,3,2,2,Low/ High,Normal,LCB,4,26-Aug-14,2022,6.2,183,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12
192366,N. Otamendi,30,Argentina,85,85,28500000,170000,Right,3,3,2,High/ High,Normal,CB,30,20-Aug-15,2022,6,179,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12
189513,Parejo,29,Spain,85,85,37000000,66000,Right,2,4,3,Medium/ Low,Lean,RCM,10,01-Jul-11,2020,6,163,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8
187961,Paulinho,29,Brazil,85,85,37000000,235000,Right,3,3,3,High/ High,Lean,LDM,9,,2019,6,157,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8
186153,W. Szczęsny,28,Poland,85,87,32000000,125000,Right,3,3,1,Medium/ Medium,Lean,GK,1,19-Jul-17,2021,6.5,198,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12,85,81,71,85,87
184941,A. Sánchez,29,Chile,85,85,37500000,215000,Right,4,3,4,High/ High,Normal,RW,7,22-Jan-18,2022,5.7,163,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13
184267,Y. Brahimi,28,Algeria,85,85,39000000,28000,Right,3,3,4,High/ Medium,Normal,LM,8,22-Jul-14,2019,5.9,146,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25,13,16,12,7,7
183907,J. Boateng,29,Germany,85,85,30000000,115000,Right,4,4,2,Medium/ Medium,Stocky,RCB,17,14-Jul-11,2021,6.4,198,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87,7,12,15,6,5
181872,A. Vidal,31,Chile,85,85,26000000,205000,Right,4,4,3,Medium/ Medium,Normal,CAM,8,06-Aug-18,2021,5.11,165,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86,4,2,4,2,4
