Observation,Dist_Taxi,Dist_Market,Dist_Metro,Store_Area,Items_Available,Parking,Coupon_Category,Daily_Customer_Count,Store_Sales
115,11475,14768,15998,1929,2311,Open,CAT B,630,79210
116,10148,10679,11618,1573,1878,Not Provided,CAT C,650,23740
117,6255,11047,10332,1415,1700,Covered,CAT B,920,36330
118,7018,7981,13748,1162,1382,Open,CAT C,1260,51700
119,9588,10711,13963,1485,1787,Open,CAT B,800,62950
120,8276,11728,11932,1897,2248,Not Provided,CAT A,1330,56010
121,7739,12930,12703,1607,1927,No Parking,CAT B,940,45080
122,10106,13805,16769,1909,2287,Not Provided,CAT B,1210,46830
123,8510,10891,13380,1274,1503,Open,CAT A,660,64750
124,5553,13174,11586,1157,1379,Not Provided,CAT A,770,80780
125,7522,11974,11433,1712,2046,Not Provided,CAT C,460,31180
126,8702,13088,14238,1500,1798,No Parking,CAT C,860,56710
127,6777,9885,11064,1682,2017,Open,CAT B,780,49390
128,7944,14333,12801,1441,1727,Not Provided,CAT A,890,66000
129,1637,7315,7685,1525,1835,Covered,CAT C,900,32770
130,5237,9949,9116,1408,1669,Not Provided,CAT B,530,46580
131,6567,14955,13427,1947,2333,Open,CAT A,790,79780
132,7293,6919,11618,1164,1390,Not Provided,CAT C,370,35510
133,4415,9440,10672,1787,2137,Covered,CAT A,610,80970
134,6873,7786,9520,1871,2241,Open,CAT B,500,61150
135,6139,9882,10482,1718,2051,Open,CAT B,750,49210
136,10772,9004,13291,1365,1636,Not Provided,CAT A,980,79950
137,4233,10090,11422,1368,1654,No Parking,CAT A,530,68740
138,7238,13882,13825,1342,1595,Open,CAT B,910,57480
139,7066,15366,15721,1076,1270,Open,CAT A,620,72630
140,8353,12447,12931,1396,1672,No Parking,CAT B,1170,50070
141,11621,14446,14609,1713,2071,Open,CAT B,900,40490
142,10831,15438,16525,1370,1638,Open,CAT B,980,51850
143,7650,5591,10198,1667,1993,No Parking,CAT C,740,42840
144,8464,14185,15235,1638,1972,Not Provided,CAT B,810,60940
145,6502,9917,10173,1581,1905,Open,CAT B,810,62280
146,4945,10098,9241,1795,2187,Open,CAT A,300,76530
147,5123,8950,8719,1179,1412,Covered,CAT A,790,85130
148,7540,7861,10544,1978,2374,Open,CAT B,800,48590
149,3529,13267,9687,1688,2042,No Parking,CAT A,760,73080
150,7597,10595,9399,1214,1456,Not Provided,CAT B,530,48950
151,4198,8105,7609,1504,1805,Open,CAT C,540,48560
152,9257,12705,15491,1498,1770,Not Provided,CAT B,620,59380
153,7611,8008,11018,1462,1762,Open,CAT C,1010,51190
154,9334,12267,14658,1442,1750,Not Provided,CAT B,130,58920
155,3761,8492,8590,1250,1486,Open,CAT B,730,50360
156,7738,9475,14329,1229,1480,Open,CAT C,830,38070
157,5964,10763,12082,1936,2300,Covered,CAT C,1060,49170
158,7032,11598,12267,1369,1629,Open,CAT C,770,39740
159,3761,7646,7251,1514,,No Parking,CAT C,440,54850
160,10868,12273,14157,1662,1986,Open,CAT B,70,63730
161,,,13083,1544,1847,Open,CAT B,750,64790
162,10100,11816,14994,1548,1855,Open,CAT A,670,85330
163,10967,12140,14999,1649,1963,Not Provided,CAT C,490,27410
164,11678,14658,14417,1393,1663,Open,CAT C,670,37320
165,3644,10324,10264,1450,1734,Not Provided,CAT A,380,71120
166,5595,13050,12267,1613,1921,Covered,CAT A,1200,72800
167,10043,12339,14476,1408,1696,No Parking,CAT C,350,34410
168,3050,11554,8995,775,932,Open,CAT C,1090,42530
169,9487,10781,15148,1275,1534,Covered,CAT A,1230,54300
170,9674,12730,15159,1740,2078,Open,CAT B,680,50780
171,6373,8175,9701,1372,1657,Open,CAT B,580,45020
172,6326,11417,9620,1414,1723,Covered,CAT A,680,69600
173,3328,6678,9320,2044,2474,Open,CAT B,340,80340
174,8509,10793,11170,1823,2176,Not Provided,CAT B,700,37810
175,9963,10658,14014,955,1133,Not Provided,CAT C,580,46140
176,5754,6031,9745,1465,1763,Not Provided,CAT A,680,99570
177,10039,8836,15253,1331,1606,Open,CAT C,630,38650
178,8738,12259,15087,1232,1487,Not Provided,CAT C,860,49800
179,5736,11309,14316,1481,1765,No Parking,CAT A,490,69910
180,4692,5460,7531,1343,1599,Open,CAT B,870,44910
181,8391,12763,15332,1539,1837,Covered,CAT A,990,78470
182,9770,11006,16758,1007,1207,No Parking,CAT B,670,47460
183,7371,9749,13443,1762,2145,Open,CAT C,490,33460
184,10662,10945,13294,1527,1832,Not Provided,CAT C,580,44090
185,5654,10609,9842,1356,1619,Covered,CAT C,700,42620
186,13166,11814,18307,1536,1848,No Parking,CAT B,670,69450
187,9255,11812,14629,1605,1902,Not Provided,CAT B,390,73120
188,4917,7195,9468,1704,2032,Covered,CAT C,590,48300
189,7557,9831,13403,1626,1941,Not Provided,CAT A,1350,58090
190,6424,13011,11082,1612,1939,Not Provided,CAT A,840,74250
191,4933,12836,12107,1174,1396,Covered,CAT B,1100,40930
192,7713,12150,13475,1923,2339,Open,CAT A,950,70930
193,9247,8857,14642,1702,2053,Open,CAT A,950,64670
194,15522,13528,20076,1398,1692,No Parking,CAT A,650,77420
195,8691,10901,12693,1437,1717,Open,CAT B,230,32330
196,10813,12852,16833,1524,1796,Open,CAT C,1060,41080
197,8509,12981,13230,1902,,Open,CAT A,590,101120
198,10296,11300,10885,1660,1985,Covered,CAT C,1180,42860
199,9834,14431,16375,1302,1569,Open,CAT C,710,68450
200,8704,13572,12349,1666,2000,Open,CAT C,480,39730
201,7863,11266,12375,1391,1649,Open,CAT A,810,83750
202,10083,13322,15167,1778,2148,Open,CAT A,1140,69940
203,11203,12227,16293,1462,1770,Open,CAT A,1070,67710
204,12499,11966,17546,1751,2115,No Parking,CAT B,790,67360
205,10890,13235,13935,1652,1982,Covered,CAT C,690,52460
206,10502,12011,16938,1841,2215,Covered,CAT A,610,88760
207,,,8735,1841,2230,No Parking,CAT A,920,76880
208,13120,15147,20263,1496,1791,Not Provided,CAT A,1240,67030
209,1868,9951,9760,1504,1827,Open,CAT A,840,78230
210,8643,12365,13695,1524,1808,Not Provided,CAT B,460,62270
211,8121,9372,10995,1148,1371,Open,CAT A,940,49760
212,11100,10338,14201,1468,1744,No Parking,CAT A,590,73660
213,6126,8116,14091,1310,1558,Not Provided,CAT A,890,72320
214,10187,12921,13539,1321,1579,Covered,CAT B,770,68890
215,4053,7724,8975,992,1192,Not Provided,CAT C,900,34180
216,9932,8958,14087,1540,1857,Open,CAT C,1020,58260
217,8385,12977,14868,1807,2149,Not Provided,CAT B,910,38120
218,9236,12932,14681,1526,1853,Open,CAT C,660,49070
219,11195,16650,18762,1406,1677,Open,CAT A,480,61660
220,11749,11673,16036,1703,2055,No Parking,CAT C,1080,37830
221,5159,12872,9786,1575,1872,Covered,CAT C,690,52270
222,11291,8711,14479,1309,1572,Open,CAT C,510,52280
223,5312,12616,12095,1488,1807,Open,CAT A,1030,70810
224,12001,16298,15585,1658,1988,Not Provided,CAT B,370,71530
225,9024,9404,13234,1863,2245,Open,CAT A,640,77260
226,6209,10808,11285,1458,1725,Not Provided,CAT A,750,75550
227,5770,12932,13163,1604,1909,Open,CAT C,370,33730
228,6697,8730,11209,1575,1899,Open,CAT B,840,66270
229,5899,7614,9374,1525,1829,Covered,CAT A,840,55820
230,9939,14835,15351,1451,1737,Open,CAT A,890,68430
231,12336,14878,17719,1390,1687,Open,CAT A,620,73990
232,10238,9621,12102,1442,1742,Open,CAT A,310,62800
233,10664,7432,14294,1620,1922,Covered,CAT B,550,33740
234,13071,15127,17387,1251,1527,Open,CAT C,380,63830
235,7826,13333,11983,1318,1606,Covered,CAT C,1200,24410
236,10539,14728,14223,1647,1962,No Parking,CAT A,800,70020
237,11355,11024,16005,1829,2175,No Parking,CAT A,870,92240
238,8387,11281,14879,1852,2227,Covered,CAT C,1220,68230
239,12631,12290,14599,1699,2053,Open,CAT A,1080,81870
240,5366,11566,12466,1325,1595,Open,CAT A,540,73860
241,6571,10429,11465,1350,1634,Open,CAT B,880,77120
242,5485,8488,12234,1347,1628,Covered,CAT A,120,72350
243,5181,9038,10100,1397,1661,Open,CAT B,1410,49160
244,8085,11993,13463,1245,1499,Open,CAT B,570,45650
245,10612,8229,15696,1366,1649,Not Provided,CAT B,940,52780
246,10625,13922,16123,1378,1658,Not Provided,CAT A,760,90960
247,2999,11347,8760,1767,2110,Not Provided,CAT A,1200,64950
248,10631,8780,15335,1184,1434,Not Provided,CAT C,670,47230
249,8323,10395,11206,1257,1505,No Parking,CAT A,950,83250
250,3696,6455,7925,,1846,Not Provided,CAT A,640,78080
251,5758,10148,13301,1863,2247,Open,CAT C,480,51950
252,9707,8985,13875,1881,2244,Open,CAT B,920,66030
253,13392,13930,18104,1329,1609,Not Provided,CAT B,1150,68590
254,4906,10462,12246,1539,1848,Open,CAT B,750,47140
255,10006,10003,14751,1557,1861,No Parking,CAT A,370,69940
256,6583,6438,10118,2007,2397,Open,CAT C,610,65890
257,10100,11800,14304,1185,1418,Not Provided,CAT B,1150,89310
258,9573,13264,16608,1657,2003,Not Provided,CAT B,1070,58540
259,8231,10056,14031,1294,1539,Not Provided,CAT A,790,78130
260,10213,13975,15747,1296,1559,No Parking,CAT A,1070,92300
261,10437,13268,14922,1733,2097,Open,CAT B,730,56170
262,6382,6892,13197,1641,1976,Open,CAT B,620,46050
263,5732,12634,12938,1373,1648,Not Provided,CAT B,530,43390
264,5402,6653,10474,1550,1845,Covered,CAT A,700,61750
265,7911,13003,12926,1583,1907,Open,CAT C,680,21830
266,8784,12817,14448,1428,1719,Not Provided,CAT C,1060,39800
267,5566,9162,10429,1604,1925,Covered,CAT B,670,54370
268,8228,13686,13223,1439,1735,Not Provided,CAT A,400,62470
269,10414,11359,12764,1648,2003,Open,CAT A,910,82930
270,12974,13529,18046,1025,1231,No Parking,CAT B,760,63720
271,8712,10134,13615,2001,2394,Not Provided,CAT B,540,79180
272,4616,9983,10644,1145,1370,Covered,CAT B,350,38210
273,8370,13716,13115,1174,1426,Open,CAT C,980,25950
274,11875,9962,14066,913,1106,Open,CAT A,860,56610
275,8895,10317,12353,1199,1433,Not Provided,CAT A,1020,73710
276,7653,11521,14161,1875,2254,Open,CAT A,1120,70400
277,13339,15821,18449,1153,1397,No Parking,CAT C,1020,50440
278,4355,6857,6316,1240,1492,Not Provided,CAT B,940,66840
279,5577,8399,11778,1381,1660,Open,CAT B,970,50170
280,2480,12328,8774,1328,,Open,CAT B,490,58490
281,11184,12656,14583,1701,2030,Covered,CAT C,830,60140
282,12728,12131,16681,1206,1456,Open,CAT C,920,37130
283,6297,11128,11198,1476,1777,No Parking,CAT C,660,42890
284,7531,12145,13548,1189,1439,Not Provided,CAT B,780,26220
285,9061,8496,14431,1837,2220,No Parking,CAT A,340,50840
286,4637,8636,11431,1319,1571,No Parking,CAT C,1190,25630
287,7573,9645,14012,1617,1901,Open,CAT B,490,60770
288,6923,7928,12000,1631,1967,Open,CAT B,1090,69600
289,7635,10625,12975,1517,1805,Covered,CAT C,1040,41740
290,8117,13349,16226,1764,2109,Not Provided,CAT C,1210,50130
291,8726,12035,10170,1572,1869,Open,CAT C,1030,21750
292,10437,13667,12454,1855,2197,Open,CAT B,1170,80490
293,7974,13932,12772,1327,1571,Not Provided,CAT B,730,34020
294,8705,12027,14258,1270,1515,Open,CAT B,720,60240
295,6573,11137,9470,1734,2073,Open,CAT B,500,39460
296,11017,8028,14703,1533,1848,Covered,CAT B,1070,56440
297,10517,9839,13059,1390,1646,Open,CAT B,800,46840
298,5896,14047,13272,1856,2216,Open,CAT B,1020,64820
299,8051,10492,11114,1000,1215,Open,CAT A,1070,52520
300,7097,13252,13997,1313,1586,Covered,CAT C,420,45940
301,4219,5927,7860,1494,1799,Open,CAT C,510,38970
302,9908,12872,13554,1386,1674,No Parking,CAT B,1210,58610
303,8913,7116,12276,1979,2364,Not Provided,CAT C,660,30810
304,7964,17040,14582,1057,1264,Open,CAT B,360,47730
305,4019,7091,8720,902,1093,Covered,CAT A,1210,64640
306,9242,13331,13748,1644,2003,No Parking,CAT C,-110,32750
307,8801,11775,12950,1347,1622,Open,CAT B,560,44860
308,10720,13072,14860,1314,1576,Covered,CAT B,360,55660
309,8556,11931,13511,1513,1803,Not Provided,CAT C,970,57530
310,8933,14064,14874,1305,1548,Not Provided,CAT A,480,75200
311,8100,9239,10996,1180,1436,No Parking,CAT B,690,37330
312,9354,8578,10360,1142,1352,Not Provided,CAT C,710,35280
313,10692,13202,16298,1471,1768,Not Provided,CAT A,780,70610
314,12386,12834,13614,1075,1288,Not Provided,CAT C,630,49720
315,8541,13767,13081,1578,1885,Covered,CAT A,220,68850
316,8450,10286,13820,1585,1916,Covered,CAT C,1110,50740
317,9803,14989,14259,1391,1648,Open,CAT A,720,77070
318,11142,10953,14331,1577,1892,Open,CAT A,560,74730
319,9851,13410,16916,1092,1314,Open,CAT A,600,76530
320,6089,13147,10479,1375,1681,Open,CAT A,440,68900
321,11240,9781,15232,1523,1813,Covered,CAT A,520,44960
322,10349,10540,14593,1373,1654,Not Provided,CAT B,410,41490
323,6237,11896,12512,1550,1871,Covered,CAT A,590,74320
324,5516,9426,11457,1614,1946,Covered,CAT A,740,73800
325,,,12906,1677,2022,Open,CAT B,730,55890
326,8362,9041,13899,1566,1889,Covered,CAT B,610,56400
327,4603,9103,10753,2019,2396,Covered,CAT A,540,71570
328,4904,11562,12490,1494,1806,Open,CAT B,1450,43640
329,9722,13414,13617,1659,2008,No Parking,CAT C,620,35120
330,8884,6700,11772,1766,2131,Covered,CAT B,340,58670
331,10457,16441,17743,1293,1554,Covered,CAT A,970,75800
332,3114,7163,8477,1375,1659,Covered,CAT A,1080,76640
333,9132,11092,13571,1236,1484,No Parking,CAT B,560,31890
334,11416,11521,18432,1332,1586,No Parking,CAT C,630,61670
335,7492,12257,11623,1513,1825,Covered,CAT A,980,75950
336,9464,10762,13998,1208,1459,Open,CAT C,930,41490
337,7960,15487,11348,1190,1429,Open,CAT B,470,66170
338,4850,12848,11995,1448,1734,Open,CAT C,680,37980
339,9308,18281,18532,1771,2147,Open,CAT C,430,62710
340,5889,12646,10210,1365,1645,Not Provided,CAT A,830,60470
341,5622,11612,11735,1510,1810,No Parking,CAT C,950,35230
342,6509,11842,12569,1458,1736,Open,CAT B,870,48550
343,13991,16736,17999,1808,2157,Not Provided,CAT C,730,56810
344,8257,11489,12600,1615,1954,Open,CAT B,760,41080
345,7259,11982,13297,1640,1948,Covered,CAT C,960,51270
346,7197,7872,11113,1060,1273,Open,CAT B,860,57500
347,9119,11639,14374,1633,1968,Open,CAT C,330,81470
348,9375,9562,12062,1222,1473,Not Provided,CAT A,630,49570
349,12946,11622,15214,1619,1957,Open,CAT B,1280,45580
350,10948,11622,14879,1624,1973,No Parking,CAT C,1440,44660
351,5790,14387,9654,1887,2278,Open,CAT A,570,76240
352,9107,9300,17103,1320,1583,Not Provided,CAT B,540,43720
353,11198,10781,16789,1450,1750,Open,CAT C,480,46700
354,8278,16251,13857,1455,1764,Covered,CAT A,390,84690
355,7364,7633,12153,966,1172,Not Provided,CAT A,900,85470
356,8692,9271,12352,1922,2290,Open,CAT A,290,80410
357,8256,16042,16071,1678,1999,Not Provided,CAT C,740,46650
358,11986,17552,19014,1638,1952,Not Provided,CAT A,690,81840
359,8395,12052,12398,2215,,Covered,CAT B,990,64240
360,4604,5839,7428,1145,1375,Open,CAT A,950,63590
361,20662,20945,23294,24300,12730,Covered,CAT B,1130,1500000
362,4846,6375,9920,2004,2390,Open,CAT B,930,50130
363,15321,11916,16620,1954,2378,Covered,CAT C,810,45820
364,7618,7083,10051,1577,1879,Covered,CAT A,760,86710
365,9666,10668,16002,1766,2138,Open,CAT B,580,49980
366,7318,9441,12192,1362,1634,Not Provided,CAT A,770,82940
367,8927,10229,13380,1886,2228,Open,CAT C,1530,40350
368,8197,14389,13108,1291,1546,Open,CAT A,420,93950
369,6276,10973,13016,1584,1897,Not Provided,CAT C,1210,47310
370,7338,8547,12034,1397,1686,No Parking,CAT B,850,21300
371,9410,12397,15927,1445,1709,Open,CAT A,1340,62180
372,7047,9529,14945,1433,1707,Not Provided,CAT B,1160,61460
373,7788,10946,14208,1269,1511,Open,CAT C,500,54360
374,7373,8907,11449,1798,2134,Covered,CAT A,820,72050
375,9415,12467,12841,1514,1822,Covered,CAT C,670,48090
376,6792,11510,14652,1015,1216,No Parking,CAT C,460,27310
377,604,6231,4922,1495,1799,Open,CAT B,950,57160
378,12898,12966,15635,1759,2095,Open,CAT C,980,34190
379,6153,10234,10502,1219,1468,Covered,CAT B,850,35600
380,7281,8521,13216,1571,1877,Open,CAT B,580,54670
381,8475,14837,13124,1404,1670,Open,CAT A,620,76730
382,8873,10762,14213,1636,,Open,CAT B,710,67210
383,9913,12642,15044,1124,1369,No Parking,CAT B,650,63540
384,6650,6080,10017,1514,1837,Open,CAT B,1130,36690
385,10027,11992,15660,1207,1476,Open,CAT A,720,87370
386,5558,8275,10846,1484,1774,No Parking,CAT A,940,59800
387,5162,6611,9842,1398,1678,No Parking,CAT B,920,48030
388,8283,14385,15540,1769,2112,Open,CAT A,660,96650
389,6469,10114,11295,1111,1322,Not Provided,CAT A,610,65500
390,7754,9915,9861,1078,1305,Covered,CAT A,1190,55530
391,9689,10159,11554,1876,2254,No Parking,CAT C,1340,21650
392,13015,15026,15586,1909,2306,Not Provided,CAT C,820,31940
393,5944,7143,12384,1940,2343,Covered,CAT A,1130,84690
394,3132,8369,8805,1391,1683,Open,CAT B,890,68390
395,7508,10841,11927,1496,1774,Not Provided,CAT A,810,75490
396,3772,6427,10119,1412,1699,Open,CAT B,680,39200
397,12545,14209,16889,1121,1345,No Parking,CAT A,320,85670
398,12012,8507,12364,1691,2026,Open,CAT C,700,60530
399,11605,12579,16088,1599,1946,Open,CAT B,940,78090
400,,,12418,1477,1778,Open,CAT B,460,57860
401,9154,12441,14070,1208,1467,Not Provided,CAT B,910,50720
402,9468,11604,13764,1454,1737,Not Provided,CAT C,870,23090
403,8044,14513,15360,1555,1881,Covered,CAT A,1260,91360
404,7317,7638,13712,1554,1852,Open,CAT B,440,48120
405,6860,12712,12638,1491,1800,Not Provided,CAT A,980,75620
406,7270,9499,11654,1415,1697,Open,CAT B,1200,39420
407,6832,13517,9360,1487,1801,Open,CAT B,890,51130
408,6830,12550,12612,1339,1589,Not Provided,CAT C,1050,33890
409,7823,9200,13495,1320,1562,Covered,CAT A,610,87170
410,8773,13547,15551,1509,1799,No Parking,CAT A,960,38600
411,6947,9487,10385,1406,1680,Not Provided,CAT A,860,60980
412,7083,7275,10474,1264,1502,Open,CAT A,800,79410
413,10057,8292,13595,1905,2280,Open,CAT B,1060,82350
414,7214,13739,13314,1209,1464,Covered,CAT C,600,36740
415,7935,7911,10691,1546,1829,Not Provided,CAT B,380,27720
416,5787,14151,14705,1689,2044,Open,CAT C,1140,32260
417,9259,8471,12891,1153,1381,No Parking,CAT B,730,53270
418,11445,5955,13648,2063,2493,Covered,CAT C,810,51480
419,6650,8409,12131,1848,2254,Open,CAT B,1000,59970
420,6858,12850,12287,1718,2056,Covered,CAT A,1220,83600
421,11309,8252,13199,1480,1773,Covered,CAT B,360,63020
422,5727,5902,10754,1439,1724,Not Provided,CAT A,900,50920
423,9328,13093,12841,1576,1896,Not Provided,CAT B,750,56450
424,4049,4402,8614,1948,2374,Open,CAT A,930,89540
425,5440,12550,11734,1613,1893,Not Provided,CAT C,1180,46030
426,11037,9154,12853,1151,,Open,CAT B,1300,67010
427,12977,12302,16496,896,1059,Open,CAT A,870,75110
428,11246,10333,13997,1625,1943,Not Provided,CAT A,680,74520
429,16233,15074,18566,1303,1587,No Parking,CAT A,1310,102310
430,6824,6352,8577,1340,1605,Not Provided,CAT B,1000,53400
431,4127,8367,9533,1410,1704,Open,CAT B,1130,59760
432,6214,14164,14555,1432,1719,Covered,CAT B,990,49540
433,12322,10530,16409,1891,2280,Covered,CAT C,360,51560
434,5389,10389,11111,1322,1583,Open,CAT A,720,49510
435,5900,10980,12617,1378,1670,Covered,CAT C,950,58610
436,11537,13214,17191,1462,1732,Not Provided,CAT A,840,68260
437,12794,17541,20046,1440,1733,No Parking,CAT A,1120,65310
438,9405,12156,15118,1421,1724,Covered,CAT A,920,52090
439,5508,7881,10157,1280,1530,Open,CAT C,1240,43860
440,13275,9872,15303,1431,1710,Covered,CAT A,840,74170
441,9475,9807,14405,,1771,Covered,CAT B,950,34920
