ID,delinquent,Sdelinquent,term,gender,purpose,home_ownership,age,FICO
93,Yes,1,36 months,Male,House,Mortgage,>25,>500
94,Yes,1,36 months,Female,House,Rent,20-25,300-500
95,Yes,1,36 months,Male,Car,Rent,20-25,300-500
96,Yes,1,36 months,Female,House,Rent,>25,300-500
97,Yes,1,36 months,Female,House,Rent,>25,300-500
98,No,0,36 months,Female,Other,Rent,>25,>500
99,Yes,1,36 months,Female,Car,Rent,20-25,300-500
100,No,0,60 months,Male,House,Mortgage,20-25,>500
101,Yes,1,36 months,Male,House,Rent,20-25,300-500
102,Yes,1,60 months,Male,House,Rent,20-25,>500
103,Yes,1,36 months,Female,House,Rent,>25,300-500
104,Yes,1,36 months,Male,Other,Rent,20-25,300-500
105,No,0,36 months,Female,Other,Mortgage,>25,>500
106,No,0,36 months,Male,House,Rent,20-25,300-500
107,Yes,1,36 months,Female,Wedding,Mortgage,20-25,300-500
108,No,0,36 months,Female,House,Mortgage,>25,>500
109,No,0,36 months,Male,House,Rent,20-25,>500
110,No,0,36 months,Male,House,Mortgage,20-25,300-500
111,No,0,36 months,Female,Other,Mortgage,20-25,>500
112,No,0,36 months,Male,House,Own,20-25,>500
113,Yes,1,36 months,Female,House,Mortgage,20-25,>500
114,No,0,36 months,Female,Medical,Rent,20-25,>500
115,No,0,36 months,Male,House,Rent,20-25,>500
116,Yes,1,36 months,Male,House,Rent,>25,>500
117,Yes,1,36 months,Male,House,Rent,20-25,300-500
118,No,0,36 months,Female,House,Mortgage,20-25,>500
119,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
120,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
121,Yes,1,36 months,Male,House,Rent,20-25,300-500
122,Yes,1,36 months,Female,Medical,Rent,>25,300-500
123,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
124,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
125,Yes,1,36 months,Male,Other,Rent,20-25,300-500
126,Yes,1,36 months,Male,Car,Rent,20-25,300-500
127,No,0,36 months,Male,Car,Rent,20-25,300-500
128,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
129,No,0,36 months,Male,House,Rent,>25,>500
130,Yes,1,36 months,Male,House,Mortgage,>25,>500
131,No,0,36 months,Male,House,Mortgage,20-25,>500
132,Yes,1,36 months,Female,Other,Mortgage,20-25,300-500
133,Yes,1,36 months,Male,House,Mortgage,>25,>500
134,Yes,1,36 months,Female,Other,Rent,>25,300-500
135,Yes,1,36 months,Female,House,Rent,>25,300-500
136,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
137,No,0,36 months,Male,House,Mortgage,20-25,>500
138,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
139,No,0,36 months,Female,Other,Rent,>25,>500
140,Yes,1,36 months,Female,Wedding,Rent,>25,300-500
141,No,0,36 months,Female,Other,Mortgage,>25,>500
142,Yes,1,36 months,Male,House,Mortgage,>25,>500
143,Yes,1,36 months,Male,House,Own,20-25,300-500
144,Yes,1,36 months,Male,Car,Rent,>25,>500
145,No,0,36 months,Male,Other,Mortgage,20-25,300-500
146,Yes,1,36 months,Male,Medical,Mortgage,20-25,300-500
147,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
148,Yes,1,36 months,Female,Other,Mortgage,20-25,>500
149,Yes,1,36 months,Female,Car,Rent,>25,>500
150,No,0,60 months,Male,Car,Rent,>25,>500
151,Yes,1,36 months,Male,Other,Rent,20-25,300-500
152,No,0,36 months,Female,House,Rent,>25,>500
153,Yes,1,36 months,Female,House,Mortgage,>25,300-500
154,No,0,36 months,Female,Other,Rent,>25,>500
155,No,0,36 months,Male,Car,Rent,20-25,>500
156,Yes,1,36 months,Male,House,Mortgage,>25,>500
157,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
158,No,0,36 months,Female,Medical,Rent,>25,>500
159,Yes,1,36 months,Male,Car,Rent,20-25,300-500
160,Yes,1,36 months,Female,Medical,Mortgage,>25,300-500
161,No,0,36 months,Female,House,Mortgage,>25,>500
162,Yes,1,36 months,Female,House,Rent,>25,300-500
163,Yes,1,36 months,Female,Car,Mortgage,20-25,300-500
164,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
165,Yes,1,36 months,Male,Car,Own,20-25,300-500
166,No,0,36 months,Male,Car,Mortgage,20-25,300-500
167,Yes,1,36 months,Male,House,Mortgage,20-25,>500
168,No,0,36 months,Female,Wedding,Rent,>25,>500
169,Yes,1,36 months,Female,Personal,Mortgage,>25,>500
170,Yes,1,36 months,Male,House,Rent,20-25,300-500
171,No,0,36 months,Female,House,Mortgage,>25,>500
172,Yes,1,36 months,Female,House,Mortgage,>25,300-500
173,No,0,36 months,Male,House,Rent,20-25,>500
174,No,0,36 months,Male,Other,Mortgage,20-25,>500
175,Yes,1,36 months,Male,Car,Rent,20-25,300-500
176,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
177,No,0,36 months,Male,House,Mortgage,>25,>500
178,No,0,36 months,Female,Car,Rent,>25,>500
179,Yes,1,36 months,Female,House,Mortgage,20-25,>500
180,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
181,Yes,1,36 months,Female,House,Rent,>25,>500
182,Yes,1,36 months,Female,House,Mortgage,>25,300-500
183,Yes,1,36 months,Male,Car,Rent,>25,>500
184,No,0,36 months,Female,House,Mortgage,20-25,300-500
185,Yes,1,36 months,Male,Wedding,Rent,20-25,300-500
186,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
187,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
188,No,0,36 months,Female,Car,Rent,>25,>500
189,Yes,1,36 months,Female,House,Rent,>25,300-500
190,Yes,1,36 months,Male,House,Mortgage,>25,>500
191,Yes,1,36 months,Female,Other,Rent,>25,300-500
192,No,0,36 months,Female,House,Rent,20-25,>500
193,Yes,1,36 months,Female,Wedding,Rent,>25,300-500
194,No,0,36 months,Female,Other,Rent,>25,>500
195,Yes,1,36 months,Male,Personal,Own,20-25,300-500
196,Yes,1,36 months,Male,Medical,Mortgage,20-25,>500
197,No,0,36 months,Female,House,Own,20-25,>500
198,Yes,1,36 months,Male,Other,Mortgage,>25,>500
199,No,0,36 months,Female,House,Mortgage,>25,>500
200,No,0,36 months,Male,Car,Rent,20-25,300-500
201,No,0,36 months,Male,Car,Mortgage,20-25,300-500
202,Yes,1,36 months,Female,House,Mortgage,20-25,>500
203,Yes,1,36 months,Female,House,Rent,>25,300-500
204,No,0,36 months,Male,House,Mortgage,>25,>500
205,No,0,60 months,Male,House,Mortgage,>25,300-500
206,Yes,1,36 months,Female,House,Mortgage,>25,300-500
207,Yes,1,36 months,Female,House,Rent,20-25,>500
208,Yes,1,36 months,Male,Car,Rent,>25,>500
209,Yes,1,36 months,Female,House,Mortgage,>25,300-500
210,No,0,60 months,Male,House,Mortgage,>25,>500
211,No,0,36 months,Female,Wedding,Own,20-25,>500
212,Yes,1,36 months,Male,House,Rent,20-25,>500
213,Yes,1,36 months,Male,House,Rent,20-25,300-500
214,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
215,Yes,1,36 months,Female,Other,Mortgage,20-25,300-500
216,Yes,1,36 months,Female,Medical,Mortgage,>25,300-500
217,No,0,36 months,Male,House,Mortgage,20-25,>500
218,No,0,60 months,Male,Car,Own,20-25,>500
219,No,0,36 months,Male,House,Mortgage,20-25,>500
220,Yes,1,36 months,Male,Personal,Own,20-25,300-500
221,No,0,36 months,Female,House,Mortgage,20-25,300-500
222,No,0,36 months,Male,House,Own,>25,>500
223,No,0,36 months,Female,House,Rent,>25,>500
224,Yes,1,36 months,Male,House,Rent,20-25,300-500
225,Yes,1,36 months,Male,Car,Mortgage,>25,>500
226,No,0,36 months,Male,House,Own,20-25,>500
227,Yes,1,36 months,Male,Medical,Rent,20-25,300-500
228,Yes,1,36 months,Female,House,Rent,>25,300-500
229,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
230,Yes,1,36 months,Female,House,Mortgage,>25,300-500
231,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
232,No,0,36 months,Male,House,Rent,20-25,300-500
233,No,0,36 months,Male,House,Mortgage,20-25,>500
234,No,0,36 months,Female,Car,Rent,20-25,>500
235,Yes,1,36 months,Male,House,Rent,20-25,300-500
236,Yes,1,36 months,Male,Other,Rent,20-25,300-500
237,Yes,1,36 months,Male,House,Rent,20-25,300-500
238,No,0,60 months,Male,Car,Rent,>25,300-500
239,Yes,1,36 months,Female,Car,Mortgage,20-25,300-500
240,Yes,1,36 months,Male,Car,Rent,20-25,300-500
241,No,0,36 months,Male,House,Rent,20-25,>500
242,No,0,36 months,Female,House,Rent,>25,>500
243,No,0,36 months,Male,House,Rent,20-25,300-500
244,No,0,36 months,Female,House,Mortgage,>25,>500
245,Yes,1,36 months,Male,Car,Rent,20-25,300-500
246,Yes,1,36 months,Male,House,Mortgage,20-25,>500
247,Yes,1,36 months,Male,Medical,Rent,20-25,300-500
248,No,0,60 months,Male,House,Mortgage,>25,>500
249,Yes,1,36 months,Female,House,Mortgage,20-25,>500
250,Yes,1,60 months,Male,Medical,Mortgage,20-25,>500
251,Yes,1,36 months,Male,Other,Rent,20-25,>500
252,Yes,1,36 months,Female,House,Rent,>25,>500
253,No,0,36 months,Female,Car,Rent,>25,>500
254,Yes,1,36 months,Female,House,Rent,>25,300-500
255,Yes,1,36 months,Male,House,Rent,20-25,300-500
256,Yes,1,36 months,Male,Other,Rent,20-25,300-500
257,No,0,36 months,Male,Personal,Mortgage,20-25,>500
258,Yes,1,36 months,Male,House,Rent,>25,>500
259,Yes,1,36 months,Male,House,Rent,20-25,300-500
260,Yes,1,36 months,Male,House,Rent,>25,>500
261,Yes,1,36 months,Female,House,Mortgage,>25,300-500
262,No,0,36 months,Female,Car,Rent,>25,>500
263,Yes,1,36 months,Male,Car,Rent,20-25,300-500
264,No,0,36 months,Female,House,Rent,>25,>500
265,Yes,1,36 months,Male,Wedding,Rent,20-25,300-500
266,Yes,1,36 months,Male,Car,Mortgage,>25,>500
267,Yes,1,36 months,Female,House,Rent,>25,>500
268,Yes,1,36 months,Female,Wedding,Rent,>25,>500
269,No,0,36 months,Female,House,Mortgage,>25,>500
270,Yes,1,36 months,Female,Car,Rent,20-25,>500
271,Yes,1,36 months,Male,Other,Mortgage,>25,>500
272,Yes,1,60 months,Male,House,Mortgage,20-25,>500
273,No,0,36 months,Female,House,Mortgage,>25,>500
274,No,0,36 months,Female,Personal,Mortgage,>25,>500
275,Yes,1,36 months,Male,Car,Rent,>25,>500
276,No,0,36 months,Male,House,Mortgage,20-25,300-500
277,Yes,1,36 months,Female,Personal,Mortgage,>25,>500
278,Yes,1,36 months,Female,House,Rent,>25,300-500
279,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
280,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
281,No,0,36 months,Female,House,Rent,20-25,>500
282,Yes,1,36 months,Male,Other,Rent,20-25,300-500
283,No,0,36 months,Male,Personal,Mortgage,>25,>500
284,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
285,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
286,Yes,1,36 months,Female,House,Rent,20-25,>500
287,Yes,1,36 months,Female,Personal,Rent,20-25,300-500
288,Yes,1,36 months,Female,House,Mortgage,>25,300-500
289,Yes,1,36 months,Male,House,Mortgage,>25,>500
290,Yes,1,36 months,Male,House,Rent,20-25,300-500
291,Yes,1,36 months,Male,House,Rent,>25,>500
292,Yes,1,60 months,Male,Personal,Mortgage,20-25,>500
293,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
294,No,0,60 months,Male,House,Rent,>25,300-500
295,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
296,No,0,36 months,Male,Car,Rent,20-25,>500
297,No,0,36 months,Male,House,Rent,20-25,>500
298,No,0,60 months,Male,House,Rent,>25,300-500
299,No,0,36 months,Male,Car,Rent,20-25,300-500
300,Yes,1,36 months,Female,Personal,Rent,>25,300-500
301,Yes,1,36 months,Male,Car,Rent,>25,>500
302,Yes,1,36 months,Male,House,Rent,20-25,300-500
303,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
304,Yes,1,60 months,Male,Personal,Mortgage,20-25,>500
305,No,0,36 months,Female,House,Rent,20-25,>500
306,Yes,1,36 months,Male,House,Rent,20-25,300-500
307,Yes,1,36 months,Male,House,Mortgage,>25,>500
308,Yes,1,36 months,Male,House,Mortgage,>25,>500
309,Yes,1,36 months,Female,House,Rent,>25,300-500
310,No,0,36 months,Male,House,Rent,>25,>500
311,Yes,1,36 months,Female,House,Own,20-25,>500
312,No,0,36 months,Female,Wedding,Mortgage,>25,>500
313,No,0,36 months,Female,House,Own,20-25,>500
314,Yes,1,36 months,Male,Car,Own,20-25,300-500
315,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
316,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
317,Yes,1,36 months,Female,House,Mortgage,>25,300-500
318,No,0,60 months,Male,House,Rent,20-25,>500
319,No,0,36 months,Male,House,Mortgage,20-25,>500
320,Yes,1,36 months,Female,House,Rent,>25,300-500
321,No,0,36 months,Female,House,Mortgage,>25,>500
322,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
323,No,0,36 months,Female,Other,Rent,>25,>500
324,Yes,1,36 months,Male,House,Rent,>25,>500
325,No,0,36 months,Male,Car,Rent,20-25,300-500
326,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
327,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
328,Yes,1,36 months,Female,House,Rent,>25,300-500
329,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
330,Yes,1,36 months,Male,House,Rent,20-25,300-500
331,Yes,1,60 months,Male,House,Rent,20-25,>500
332,No,0,60 months,Male,Wedding,Mortgage,>25,300-500
333,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
334,No,0,60 months,Male,House,Rent,>25,300-500
335,No,0,36 months,Female,House,Mortgage,20-25,>500
336,Yes,1,36 months,Female,Car,Mortgage,20-25,300-500
337,Yes,1,36 months,Female,House,Rent,>25,300-500
338,No,0,36 months,Male,House,Mortgage,20-25,>500
339,Yes,1,36 months,Female,House,Mortgage,>25,>500
340,Yes,1,36 months,Female,Other,Rent,>25,300-500
341,Yes,1,36 months,Male,House,Rent,20-25,300-500
342,Yes,1,36 months,Female,House,Rent,>25,300-500
343,No,0,60 months,Male,House,Mortgage,>25,>500
344,Yes,1,36 months,Male,House,Mortgage,20-25,>500
345,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
346,Yes,1,36 months,Female,House,Rent,>25,300-500
347,No,0,36 months,Male,Wedding,Rent,>25,>500
348,Yes,1,36 months,Male,House,Mortgage,>25,>500
349,Yes,1,36 months,Male,House,Own,20-25,300-500
350,No,0,36 months,Female,Other,Rent,>25,>500
351,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
352,No,0,36 months,Female,Car,Rent,>25,>500
353,Yes,1,36 months,Male,House,Rent,>25,>500
354,Yes,1,36 months,Female,Personal,Mortgage,20-25,300-500
355,No,0,36 months,Female,Personal,Mortgage,20-25,>500
356,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
357,Yes,1,36 months,Male,House,Rent,>25,>500
358,No,0,60 months,Male,House,Mortgage,>25,>500
359,Yes,1,36 months,Male,House,Mortgage,>25,>500
360,No,0,36 months,Male,House,Rent,>25,>500
361,No,0,36 months,Male,Other,Rent,20-25,>500
362,No,0,36 months,Male,House,Rent,20-25,300-500
363,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
364,No,0,36 months,Female,House,Own,>25,>500
365,Yes,1,36 months,Male,House,Rent,>25,>500
366,Yes,1,36 months,Male,Car,Rent,20-25,300-500
367,Yes,1,36 months,Male,House,Own,>25,>500
368,Yes,1,36 months,Female,House,Mortgage,>25,300-500
369,No,0,36 months,Female,Personal,Mortgage,>25,>500
370,Yes,1,36 months,Male,Car,Rent,20-25,300-500
371,Yes,1,36 months,Female,House,Rent,>25,300-500
372,Yes,1,36 months,Male,Car,Rent,20-25,300-500
373,Yes,1,36 months,Female,Personal,Rent,>25,>500
374,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
375,Yes,1,36 months,Female,House,Mortgage,>25,300-500
376,Yes,1,36 months,Male,Car,Rent,20-25,300-500
377,Yes,1,36 months,Male,Other,Mortgage,>25,>500
378,No,0,60 months,Male,Personal,Rent,>25,300-500
379,Yes,1,36 months,Male,House,Rent,20-25,>500
380,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
381,No,0,60 months,Male,House,Rent,>25,300-500
382,Yes,1,60 months,Male,House,Mortgage,20-25,>500
383,Yes,1,36 months,Female,House,Mortgage,>25,300-500
384,No,0,36 months,Male,Other,Rent,>25,>500
385,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
386,No,0,36 months,Female,Wedding,Mortgage,20-25,>500
387,Yes,1,36 months,Male,House,Mortgage,>25,>500
388,No,0,36 months,Male,House,Rent,20-25,300-500
389,Yes,1,36 months,Female,House,Rent,>25,300-500
390,No,0,36 months,Male,Car,Mortgage,20-25,300-500
391,No,0,36 months,Male,House,Rent,20-25,300-500
392,Yes,1,36 months,Male,House,Mortgage,>25,>500
393,No,0,60 months,Male,House,Mortgage,20-25,>500
394,No,0,36 months,Female,House,Rent,>25,>500
395,Yes,1,36 months,Female,House,Rent,>25,300-500
396,Yes,1,36 months,Male,House,Mortgage,>25,>500
397,No,0,36 months,Male,House,Rent,>25,>500
398,Yes,1,36 months,Male,Other,Rent,20-25,300-500
399,Yes,1,36 months,Male,Other,Rent,20-25,300-500
400,No,0,60 months,Male,House,Rent,>25,>500
401,Yes,1,36 months,Male,House,Mortgage,>25,>500
402,Yes,1,60 months,Male,other,Mortgage,20-25,>500
403,Yes,1,36 months,Female,Wedding,Rent,>25,300-500
404,Yes,1,36 months,Male,House,Mortgage,>25,>500
405,No,0,36 months,Female,House,Rent,20-25,>500
406,No,0,36 months,Female,Car,Rent,20-25,>500
407,Yes,1,36 months,Male,Medical,Mortgage,>25,>500
408,Yes,1,36 months,Female,Car,Mortgage,>25,>500
409,No,0,36 months,Female,Car,Mortgage,20-25,>500
410,No,0,36 months,Male,House,Rent,20-25,300-500
411,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
412,No,0,36 months,Male,House,Rent,20-25,300-500
413,No,0,36 months,Male,Other,Rent,>25,>500
414,Yes,1,36 months,Female,House,Mortgage,>25,300-500
415,Yes,1,36 months,Male,House,Rent,20-25,300-500
416,Yes,1,36 months,Male,Car,Rent,>25,>500
417,No,0,36 months,Female,House,Rent,20-25,>500
418,Yes,1,36 months,Male,Car,Mortgage,20-25,>500
419,No,0,36 months,Female,Car,Rent,>25,>500
420,Yes,1,36 months,Male,Wedding,Mortgage,20-25,300-500
421,Yes,1,36 months,Female,Car,Rent,20-25,300-500
422,Yes,1,36 months,Female,House,Rent,>25,300-500
423,Yes,1,36 months,Male,House,Rent,>25,>500
424,No,0,36 months,Male,House,Rent,20-25,>500
425,Yes,1,36 months,Male,Car,Mortgage,>25,>500
426,Yes,1,36 months,Male,Car,Rent,20-25,300-500
427,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
428,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
429,Yes,1,36 months,Male,House,Mortgage,>25,>500
430,Yes,1,36 months,Male,House,Rent,>25,>500
431,Yes,1,36 months,Male,Wedding,Mortgage,20-25,300-500
432,Yes,1,36 months,Male,House,Rent,20-25,300-500
433,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
434,No,0,36 months,Female,Other,Mortgage,20-25,>500
435,Yes,1,36 months,Male,Car,Mortgage,>25,>500
436,Yes,1,36 months,Male,Other,Rent,>25,>500
437,No,0,60 months,Male,House,Rent,>25,300-500
438,Yes,1,36 months,Female,Other,Own,20-25,300-500
439,Yes,1,36 months,Female,Other,Mortgage,20-25,>500
440,Yes,1,36 months,Male,House,Mortgage,20-25,>500
441,Yes,1,36 months,Female,House,Mortgage,>25,300-500
442,Yes,1,36 months,Female,Car,Mortgage,>25,>500
443,Yes,1,36 months,Male,House,Rent,20-25,300-500
444,Yes,1,36 months,Male,House,Rent,20-25,300-500
445,Yes,1,36 months,Male,Car,Rent,>25,>500
446,No,0,36 months,Male,House,Rent,>25,>500
447,Yes,1,36 months,Male,Car,Rent,20-25,300-500
448,Yes,1,36 months,Female,House,Own,20-25,>500
449,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
450,Yes,1,36 months,Male,Personal,Own,20-25,300-500
451,No,0,36 months,Male,House,Mortgage,20-25,300-500
452,Yes,1,36 months,Male,Car,Rent,20-25,300-500
453,Yes,1,36 months,Female,Car,Own,>25,300-500
454,No,0,36 months,Female,House,Rent,>25,>500
455,Yes,1,36 months,Male,House,Rent,>25,>500
456,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
457,No,0,36 months,Male,House,Rent,20-25,>500
458,Yes,1,36 months,Male,House,Rent,20-25,300-500
459,No,0,60 months,Male,House,Mortgage,>25,>500
460,Yes,1,36 months,Male,House,Rent,20-25,300-500
461,Yes,1,36 months,Male,Car,Rent,20-25,300-500
462,No,0,36 months,Female,House,Mortgage,20-25,>500
463,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
464,No,0,60 months,Male,Car,Mortgage,>25,300-500
465,Yes,1,36 months,Male,Car,Rent,20-25,300-500
466,Yes,1,36 months,Female,House,Rent,20-25,300-500
467,Yes,1,36 months,Female,House,Rent,>25,300-500
468,Yes,1,60 months,Male,House,Mortgage,20-25,>500
469,Yes,1,36 months,Male,House,Rent,20-25,300-500
470,Yes,1,36 months,Male,House,Mortgage,>25,>500
471,Yes,1,36 months,Female,House,Mortgage,>25,300-500
472,Yes,1,36 months,Female,House,Mortgage,>25,300-500
473,Yes,1,36 months,Female,House,Mortgage,>25,300-500
474,No,0,36 months,Female,Car,Mortgage,>25,>500
475,Yes,1,36 months,Female,Medical,Mortgage,>25,300-500
476,Yes,1,36 months,Male,House,Rent,20-25,300-500
477,No,0,36 months,Male,House,Rent,>25,>500
478,Yes,1,36 months,Female,Other,Rent,>25,300-500
479,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
480,No,0,36 months,Female,House,Mortgage,20-25,>500
481,No,0,36 months,Male,Car,Rent,20-25,300-500
482,Yes,1,36 months,Female,House,Rent,>25,300-500
