,employee_id,department,education,gender,no_of_trainings,age,last_promotion_rating,employee_since_years,all_tasks_completed,training_marks,is_promoted
149,2001127,Sales & Marketing,Master's & above,m,1,31,4,6,0,50,0
150,2001128,HR,Master's & above,f,1,37,3,9,0,48,0
151,2001129,Technology,Bachelor's,f,2,34,5,8,0,88,1
152,2001130,Procurement,Bachelor's,m,1,25,5,3,1,70,1
153,2001131,Operations,Master's & above,m,1,40,4,4,1,57,0
154,2001132,Operations,Master's & above,m,1,43,3,7,1,56,1
155,2001133,Operations,Bachelor's,m,1,36,1,5,0,56,0
156,2001134,Legal,Bachelor's,m,1,29,3,3,0,63,0
157,2001135,Finance,Bachelor's,m,2,35,3,2,0,56,0
158,2001136,Analytics,Master's & above,m,1,34,5,2,0,84,0
159,2001137,Sales & Marketing,Bachelor's,f,1,32,4,4,1,45,0
161,2001138,Technology,Bachelor's,m,1,29,3,5,0,75,0
162,2001139,Sales & Marketing,Bachelor's,m,1,34,1,4,0,48,0
163,2001140,Procurement,Master's & above,m,1,37,5,7,1,70,0
164,2001141,Procurement,Bachelor's,f,1,33,3,3,1,73,0
165,2001142,Procurement,Master's & above,f,1,33,5,4,1,67,0
166,2001143,Sales & Marketing,Bachelor's,f,1,39,1,8,0,45,0
167,2001144,Technology,Master's & above,m,1,34,4,7,0,82,0
168,2001145,Technology,Bachelor's,m,2,32,4,6,0,84,0
169,2001146,Sales & Marketing,Master's & above,m,1,34,4,6,0,53,0
170,2001147,Finance,Bachelor's,m,1,29,5,6,1,61,0
171,2001148,Sales & Marketing,Bachelor's,m,2,28,1,2,0,50,0
172,2001149,Technology,Bachelor's,f,1,28,2,5,0,75,0
173,2001150,Procurement,Master's & above,f,2,35,3,9,0,70,0
174,2001151,Technology,Bachelor's,f,2,40,3,3,0,86,0
175,2001152,Sales & Marketing,Bachelor's,f,2,27,2,4,0,54,0
176,2001153,Procurement,Bachelor's,f,3,26,3,3,1,70,0
177,2001154,Operations,Bachelor's,m,1,43,2,12,0,57,0
179,2001155,Analytics,Bachelor's,m,1,29,5,6,1,84,0
180,2001156,Sales & Marketing,Bachelor's,m,1,43,3,15,0,51,0
181,2001157,Sales & Marketing,Bachelor's,m,3,27,4,4,0,49,0
182,2001158,Procurement,Bachelor's,m,1,26,4,4,1,70,0
183,2001159,Procurement,Bachelor's,f,1,31,5,5,1,72,0
184,2001160,Operations,Bachelor's,m,1,40,4,11,0,58,0
185,2001161,Operations,Bachelor's,f,2,39,5,12,1,55,0
186,2001162,Operations,Bachelor's,f,2,30,3,6,0,57,0
187,2001163,Technology,Master's & above,m,1,47,4,4,1,77,0
188,2001164,Sales & Marketing,Bachelor's,m,1,34,4,7,1,48,1
190,2001165,Sales & Marketing,Master's & above,m,1,41,5,7,0,51,0
191,2001166,Technology,Bachelor's,m,1,29,1,4,0,80,0
192,2001167,Analytics,Bachelor's,f,1,32,3,4,0,86,0
193,2001168,Procurement,Master's & above,f,1,47,5,9,0,68,0
194,2001169,Operations,Bachelor's,m,1,35,4,3,0,65,0
195,2001170,Technology,Bachelor's,m,1,27,4,2,0,75,0
196,2001171,Analytics,Bachelor's,m,1,29,1,3,0,81,0
197,2001172,Sales & Marketing,Bachelor's,m,2,36,3,9,0,49,0
198,2001173,Sales & Marketing,Bachelor's,m,2,35,1,8,0,39,0
199,2001174,Procurement,Bachelor's,f,2,34,3,2,0,70,0
200,2001175,Sales & Marketing,Master's & above,f,1,34,4,5,1,94,1
201,2001176,Operations,Master's & above,m,1,39,3,2,1,60,0
202,2001177,Sales & Marketing,Bachelor's,m,1,26,5,2,1,51,0
203,2001178,Operations,Bachelor's,f,1,30,5,4,0,56,0
205,2001179,HR,Master's & above,m,1,44,5,6,0,48,0
206,2001180,Sales & Marketing,Bachelor's,m,1,38,3,4,1,49,0
207,2001181,Technology,Bachelor's,m,1,40,1,3,0,78,0
208,2001182,Legal,Master's & above,m,1,50,5,6,0,58,0
209,2001183,Procurement,Master's & above,m,1,44,3,12,0,70,0
210,2001184,Procurement,Below Secondary,f,1,23,1,2,0,69,0
211,2001185,Sales & Marketing,Master's & above,f,1,36,1,2,0,53,0
212,2001186,Analytics,Bachelor's,m,1,25,1,4,0,80,0
213,2001187,Operations,Bachelor's,m,1,34,5,4,1,58,0
215,2001188,Analytics,Bachelor's,m,2,30,5,6,1,81,0
216,2001189,Procurement,Bachelor's,m,1,35,1,8,0,67,0
217,2001190,Analytics,Bachelor's,m,1,33,4,8,0,86,0
218,2001191,Analytics,Master's & above,m,1,30,3,4,1,80,0
219,2001192,Analytics,Bachelor's,m,2,27,5,3,1,85,0
221,2001193,Operations,Bachelor's,m,1,43,3,3,0,58,0
222,2001194,Analytics,Bachelor's,m,2,28,3,5,1,86,0
223,2001195,Procurement,Bachelor's,m,1,31,5,3,1,68,0
224,2001196,Operations,Bachelor's,f,1,43,4,12,0,58,0
225,2001197,Operations,Bachelor's,f,1,35,5,9,1,60,0
226,2001198,Sales & Marketing,Bachelor's,m,2,35,3,9,0,49,0
227,2001199,Operations,Master's & above,m,1,50,3,8,1,59,0
228,2001200,HR,Bachelor's,f,1,26,4,3,0,50,0
229,2001201,Sales & Marketing,Bachelor's,m,1,32,3,5,1,52,0
230,2001202,Operations,Master's & above,f,1,38,5,2,1,93,1
233,2001203,Procurement,Bachelor's,f,1,37,3,9,0,69,0
234,2001204,Analytics,Bachelor's,m,2,54,3,9,1,86,0
235,2001205,Sales & Marketing,Bachelor's,m,1,36,3,8,0,51,0
236,2001206,Technology,Bachelor's,m,1,35,3,8,0,78,0
237,2001207,Analytics,Bachelor's,m,1,39,3,4,1,85,0
238,2001208,Operations,Bachelor's,f,1,31,5,4,1,63,0
239,2001209,Operations,Bachelor's,m,2,38,3,7,1,60,0
240,2001210,Sales & Marketing,Bachelor's,m,1,28,1,2,0,48,0
241,2001211,Sales & Marketing,Bachelor's,m,3,26,2,3,0,52,0
243,2001212,Analytics,Bachelor's,m,1,30,3,4,0,84,0
244,2001213,Operations,Bachelor's,m,2,37,2,4,1,57,1
246,2001214,Technology,Bachelor's,m,1,26,4,2,0,82,0
247,2001215,Technology,Bachelor's,m,1,31,4,4,0,78,0
248,2001216,Technology,Bachelor's,f,1,38,5,7,1,82,0
249,2001217,Sales & Marketing,Bachelor's,m,1,39,4,9,0,49,0
250,2001218,Sales & Marketing,Bachelor's,m,1,30,5,4,0,50,0
251,2001219,Procurement,Master's & above,f,1,34,5,8,1,67,0
252,2001220,Procurement,Master's & above,f,1,33,3,5,1,72,0
253,2001221,Technology,Bachelor's,f,1,29,5,3,1,78,0
254,2001222,Operations,Bachelor's,m,1,28,4,2,1,61,0
256,2001223,Analytics,Bachelor's,m,2,26,4,2,1,87,0
257,2001224,Legal,Bachelor's,m,1,34,5,4,0,64,0
258,2001225,Sales & Marketing,Bachelor's,m,1,35,3,7,0,46,0
259,2001226,Technology,Master's & above,m,1,43,3,14,0,79,0
260,2001227,Sales & Marketing,Bachelor's,m,1,34,1,8,0,39,0
261,2001228,Technology,Master's & above,f,2,38,3,10,0,88,0
262,2001229,Operations,Bachelor's,f,1,34,1,5,0,54,0
263,2001230,Operations,Bachelor's,m,1,41,4,4,0,63,0
264,2001231,Finance,Bachelor's,m,2,29,1,4,0,61,0
265,2001232,Operations,Bachelor's,m,1,33,4,3,0,61,0
266,2001233,Sales & Marketing,Master's & above,f,1,41,4,5,1,48,0
267,2001234,Operations,Master's & above,m,3,38,3,11,0,57,0
268,2001235,Procurement,Master's & above,f,2,54,4,23,0,66,0
269,2001236,Sales & Marketing,Master's & above,f,2,34,2,8,0,49,0
270,2001237,R&D,Bachelor's,m,2,26,5,3,1,87,0
271,2001238,Operations,Bachelor's,f,1,35,5,3,0,59,0
273,2001239,Operations,Master's & above,m,1,36,3,4,0,60,0
274,2001240,Technology,Bachelor's,m,1,45,3,15,0,87,0
275,2001241,Procurement,Master's & above,m,1,38,4,7,0,66,0
276,2001242,Sales & Marketing,Bachelor's,f,1,26,2,4,0,47,0
278,2001243,Analytics,Bachelor's,m,1,32,3,7,0,87,0
279,2001244,Analytics,Bachelor's,m,1,29,4,4,0,78,0
280,2001245,Sales & Marketing,Bachelor's,f,1,40,3,12,0,50,0
281,2001246,Technology,Bachelor's,m,2,29,4,6,0,75,0
282,2001247,Analytics,Bachelor's,m,2,31,5,7,1,87,0
283,2001248,Finance,Bachelor's,m,1,32,5,6,1,58,0
284,2001249,Operations,Bachelor's,m,1,42,5,11,0,67,0
285,2001250,Procurement,Bachelor's,f,1,30,5,3,1,65,0
286,2001251,Procurement,Bachelor's,f,1,24,3,2,1,70,0
287,2001252,Sales & Marketing,Bachelor's,m,1,35,3,7,0,56,0
288,2001253,Technology,Bachelor's,f,2,32,1,3,0,80,0
289,2001254,HR,Bachelor's,f,1,22,3,2,0,47,0
290,2001255,Sales & Marketing,Bachelor's,m,2,44,5,14,0,48,0
291,2001256,Operations,Bachelor's,m,2,39,3,9,0,58,0
292,2001257,Technology,Bachelor's,f,1,46,4,17,0,85,0
293,2001258,Technology,Bachelor's,m,1,29,2,5,0,77,0
294,2001259,Finance,Bachelor's,m,1,26,1,3,0,59,0
295,2001260,Operations,Bachelor's,m,1,35,4,5,0,61,0
296,2001261,Procurement,Bachelor's,f,1,29,4,2,1,95,1
297,2001262,Technology,Bachelor's,m,1,30,2,9,0,79,0
298,2001263,Sales & Marketing,Bachelor's,m,1,45,4,5,0,50,0
299,2001264,Sales & Marketing,Bachelor's,f,1,30,1,6,0,47,0
300,2001265,Finance,Bachelor's,m,1,28,2,4,0,59,0
301,2001266,Technology,Master's & above,m,1,46,5,10,1,76,0
302,2001267,Procurement,Bachelor's,m,1,27,2,2,0,69,0
303,2001268,Sales & Marketing,Bachelor's,m,1,34,2,5,0,47,0
304,2001269,Analytics,Bachelor's,m,2,32,5,3,1,86,0
305,2001270,Operations,Bachelor's,f,1,35,5,10,0,63,0
306,2001271,Procurement,Bachelor's,m,1,36,4,3,1,66,0
307,2001272,Procurement,Master's & above,f,1,58,1,13,0,70,0
308,2001273,Finance,Bachelor's,m,1,29,4,4,0,57,0
309,2001274,Procurement,Bachelor's,f,1,33,3,3,1,67,0
310,2001275,Operations,Bachelor's,f,1,32,5,6,0,62,0
311,2001276,Legal,Below Secondary,m,1,25,5,2,1,59,0
312,2001277,Procurement,Bachelor's,m,4,41,2,9,0,68,0
314,2001278,Analytics,Master's & above,m,1,50,1,7,0,79,0
315,2001279,Sales & Marketing,Bachelor's,m,1,30,1,7,0,53,0
317,2001280,Analytics,Master's & above,m,1,40,5,5,0,83,1
318,2001281,Finance,Below Secondary,f,1,26,3,2,0,61,0
319,2001282,Technology,Bachelor's,m,1,35,5,8,1,81,0
320,2001283,Sales & Marketing,Master's & above,m,1,37,3,7,1,52,0
321,2001284,Operations,Master's & above,m,1,34,3,3,0,75,1
322,2001285,Operations,Bachelor's,m,1,25,3,2,0,57,0
324,2001286,Procurement,Bachelor's,f,2,26,5,2,1,68,1
325,2001287,Technology,Bachelor's,f,1,31,4,7,1,80,0
326,2001288,Finance,Bachelor's,m,4,31,5,3,1,60,0
327,2001289,Analytics,Bachelor's,m,1,32,3,6,1,86,0
328,2001290,Sales & Marketing,Bachelor's,m,1,36,5,8,0,48,0
329,2001291,Technology,Bachelor's,f,1,57,3,19,0,81,0
330,2001292,Sales & Marketing,Bachelor's,f,1,42,4,9,0,51,0
331,2001293,Sales & Marketing,Bachelor's,m,1,28,3,3,0,48,0
332,2001294,Analytics,Bachelor's,m,2,33,4,3,1,86,0
333,2001295,Analytics,Bachelor's,m,1,41,3,3,0,86,0
335,2001296,Procurement,Bachelor's,f,1,32,5,5,0,84,1
337,2001297,Operations,Master's & above,m,1,41,3,7,0,58,0
338,2001298,Technology,Master's & above,m,1,31,5,4,1,82,0
339,2001299,Sales & Marketing,Bachelor's,m,1,37,4,5,0,54,0
340,2001300,Analytics,Bachelor's,m,1,30,1,4,0,84,0
341,2001301,Finance,Below Secondary,m,1,26,5,2,1,60,0
342,2001302,Sales & Marketing,Bachelor's,m,1,44,5,11,0,42,0
343,2001303,Operations,Bachelor's,f,1,44,3,10,0,60,0
344,2001304,R&D,Master's & above,m,1,30,4,2,1,96,1
345,2001305,Operations,Below Secondary,m,1,24,3,2,0,59,0
346,2001306,Sales & Marketing,Bachelor's,m,1,40,1,10,0,49,0
347,2001307,Technology,Master's & above,m,1,32,3,5,0,80,0
348,2001308,Sales & Marketing,Bachelor's,m,1,40,5,7,0,53,0
349,2001309,Technology,Below Secondary,f,2,24,4,3,1,78,0
350,2001310,Sales & Marketing,Bachelor's,m,1,45,4,15,0,64,1
351,2001311,Sales & Marketing,Bachelor's,f,1,34,5,5,0,60,1
353,2001312,Technology,Bachelor's,m,1,35,3,7,0,82,0
355,2001313,Sales & Marketing,Bachelor's,m,1,35,2,8,0,48,0
356,2001314,Technology,Bachelor's,m,1,31,1,2,0,81,0
357,2001315,Operations,Bachelor's,m,1,33,3,5,0,60,0
358,2001316,HR,Master's & above,f,1,44,3,14,0,47,0
360,2001317,Procurement,Bachelor's,m,2,34,2,10,0,69,0
361,2001318,Sales & Marketing,Bachelor's,m,1,37,5,2,0,54,0
362,2001319,Operations,Bachelor's,m,2,31,3,4,0,63,0
363,2001320,Procurement,Bachelor's,m,1,32,3,8,0,69,0
364,2001321,Operations,Bachelor's,f,1,33,5,7,1,57,0
366,2001322,Operations,Bachelor's,m,2,37,5,4,1,57,0
367,2001323,Sales & Marketing,Bachelor's,m,1,30,2,5,0,49,0
368,2001324,Analytics,Bachelor's,m,1,35,5,3,1,81,0
369,2001325,Technology,Bachelor's,m,1,32,3,4,0,80,0
370,2001326,Operations,Bachelor's,m,1,45,3,9,0,61,0
372,2001327,Sales & Marketing,Bachelor's,m,2,31,3,4,0,53,0
373,2001328,Technology,Bachelor's,m,2,34,3,8,0,80,0
375,2001329,Operations,Master's & above,f,1,31,5,7,1,59,0
376,2001330,Sales & Marketing,Master's & above,f,1,37,3,6,1,47,0
377,2001331,Sales & Marketing,Master's & above,m,1,42,3,12,0,48,0
378,2001332,Procurement,Master's & above,m,1,40,3,6,0,72,0
379,2001333,Operations,Bachelor's,m,1,37,5,5,1,64,0
380,2001334,Operations,Bachelor's,m,1,50,3,8,0,57,0
382,2001335,HR,Master's & above,f,1,57,3,13,0,53,0
383,2001336,Sales & Marketing,Master's & above,m,2,42,2,10,0,46,0
384,2001337,Operations,Master's & above,m,1,34,3,8,0,61,0
385,2001338,Operations,Bachelor's,f,1,34,5,8,1,54,0
387,2001339,Operations,Master's & above,f,1,32,4,7,1,59,0
388,2001340,Operations,Bachelor's,f,1,27,5,2,0,61,0
390,2001341,Technology,Master's & above,m,1,46,3,17,0,83,0
391,2001342,Sales & Marketing,Master's & above,m,1,37,3,10,1,49,1
392,2001343,Sales & Marketing,Bachelor's,f,1,48,4,13,0,52,0
393,2001344,Technology,Bachelor's,m,1,40,5,12,1,84,0
394,2001345,Technology,Bachelor's,m,1,32,3,6,0,73,0
395,2001346,Sales & Marketing,Bachelor's,m,1,33,1,7,0,48,0
396,2001347,Procurement,Bachelor's,f,1,35,3,6,0,66,0
398,2001348,Analytics,Master's & above,m,1,32,3,4,0,86,0
399,2001349,Operations,Bachelor's,m,4,31,3,6,0,59,0
400,2001350,Operations,Bachelor's,f,1,40,4,13,0,60,0
401,2001351,Procurement,Master's & above,m,1,43,2,7,0,70,0
402,2001352,Operations,Master's & above,m,1,38,3,6,0,60,0
403,2001353,Sales & Marketing,Bachelor's,m,1,36,5,8,0,49,0
404,2001354,Procurement,Master's & above,m,1,49,5,20,1,65,0
405,2001355,Sales & Marketing,Bachelor's,f,1,32,1,4,0,50,0
406,2001356,Analytics,Bachelor's,m,2,26,3,2,0,91,0
407,2001357,Analytics,Bachelor's,m,1,55,3,18,0,87,0
408,2001358,HR,Master's & above,f,1,35,3,5,0,50,0
409,2001359,Operations,Master's & above,f,1,36,4,6,1,59,0
410,2001360,Sales & Marketing,Bachelor's,m,1,29,5,4,1,45,0
411,2001361,Procurement,Bachelor's,m,1,46,3,19,1,72,0
412,2001362,R&D,Bachelor's,m,2,30,3,4,0,84,0
413,2001363,Sales & Marketing,Bachelor's,m,1,51,5,19,0,40,0
414,2001364,Sales & Marketing,Master's & above,m,1,37,3,7,0,54,0
417,2001365,HR,Bachelor's,f,1,31,3,7,0,51,0
418,2001366,Operations,Master's & above,f,2,38,4,9,1,65,0
419,2001367,Sales & Marketing,Master's & above,f,1,43,1,10,0,45,0
420,2001368,Technology,Bachelor's,m,3,29,3,4,0,81,0
421,2001369,Technology,Master's & above,f,1,30,3,2,0,79,0
422,2001370,HR,Bachelor's,f,1,49,5,22,1,50,0
423,2001371,Analytics,Master's & above,m,1,49,4,5,0,90,0
424,2001372,Sales & Marketing,Master's & above,m,1,36,2,5,0,48,0
425,2001373,Procurement,Master's & above,m,1,33,1,3,0,71,0
426,2001374,Sales & Marketing,Master's & above,m,3,52,3,25,0,49,0
428,2001375,Operations,Bachelor's,m,1,37,3,11,0,56,0
429,2001376,Finance,Below Secondary,m,1,25,3,3,0,61,0
431,2001377,Technology,Master's & above,f,1,37,4,13,0,79,0
432,2001378,Operations,Bachelor's,m,1,35,5,10,1,59,1
433,2001379,Technology,Bachelor's,f,1,33,3,4,1,76,1
434,2001380,Procurement,Bachelor's,f,1,33,5,9,1,71,0
435,2001381,Technology,Bachelor's,f,1,59,3,28,0,78,0
437,2001382,Operations,Bachelor's,f,1,38,2,8,0,59,0
438,2001383,Operations,Bachelor's,m,1,48,4,13,0,57,0
439,2001384,Legal,Bachelor's,m,1,31,3,1,1,62,0
440,2001385,Technology,Master's & above,f,1,32,1,5,0,77,0
441,2001386,Procurement,Bachelor's,m,3,24,3,2,0,63,0
442,2001387,Technology,Master's & above,m,2,37,5,5,1,77,0
443,2001388,Sales & Marketing,Bachelor's,f,1,32,5,8,1,46,1
444,2001389,Sales & Marketing,Bachelor's,m,1,31,3,2,0,48,0
445,2001390,Operations,Bachelor's,m,2,45,3,5,1,61,0
446,2001391,Sales & Marketing,Bachelor's,m,1,57,5,6,0,45,0
447,2001392,Operations,Master's & above,m,2,39,2,8,0,59,0
448,2001393,Procurement,Master's & above,m,1,42,1,4,0,70,0
449,2001394,Operations,Bachelor's,f,1,45,3,4,0,65,1
450,2001395,Operations,Master's & above,m,1,41,3,3,1,61,0
451,2001396,Technology,Master's & above,f,1,41,1,11,0,74,0
452,2001397,Sales & Marketing,Master's & above,m,1,34,1,7,0,50,0
453,2001398,Sales & Marketing,Bachelor's,m,1,47,5,18,0,52,0
454,2001399,Sales & Marketing,Master's & above,m,1,33,5,7,1,51,0
455,2001400,Operations,Master's & above,f,1,48,3,15,0,69,1
456,2001401,Operations,Bachelor's,m,1,34,4,3,0,60,0
457,2001402,Sales & Marketing,Master's & above,m,1,35,5,4,1,47,0
458,2001403,Analytics,Master's & above,m,1,35,5,4,1,84,0
459,2001404,Technology,Bachelor's,f,2,26,3,2,0,79,0
