Bank,DD,Withdrawals,Deposits,Branch Area in sqft,avg daily walkins
284,317,187,46,2800,680
285,187,194,96,3520,619
286,301,199,73,2730,736
287,252,184,108,2730,641
288,304,146,117,2250,689
289,312,185,97,2970,729
290,239,107,65,3610,516
291,281,111,122,3650,652
292,286,189,80,2500,709
293,295,67,56,2630,543
294,125,80,80,3550,431
295,280,113,39,2670,542
296,307,62,45,3040,523
297,247,115,72,2030,593
298,126,163,70,3630,518
299,210,154,97,2800,613
300,288,234,114,2110,759
301,218,228,77,2630,651
302,295,107,39,2870,583
303,319,98,91,3320,644
304,144,204,109,3320,585
305,202,237,90,3250,634
306,339,118,123,2630,686
307,237,239,69,2390,649
308,300,76,62,3490,603
309,287,126,48,3590,621
310,324,53,33,2600,515
311,289,169,104,2040,714
312,172,207,109,3500,624
313,174,165,45,3470,534
314,179,104,66,3330,514
315,303,154,84,3350,662
316,146,90,98,3100,470
317,144,68,103,3530,480
318,190,217,118,3030,647
319,242,214,110,2180,666
320,281,147,33,3070,609
321,286,162,70,3600,616
322,146,138,50,2930,497
323,276,112,67,2480,566
324,332,94,112,2010,664
325,247,148,44,2710,601
326,280,191,90,3070,680
327,236,196,37,3370,621
328,125,200,42,3080,483
329,126,79,123,3210,460
330,227,127,100,3000,593
331,278,163,54,1850,646
332,222,207,53,2070,645
333,218,158,80,2900,606
334,283,155,75,3080,605
335,304,202,101,2770,724
336,255,146,115,3470,656
337,300,158,41,3390,601
338,198,203,58,2790,607
339,176,64,39,3300,425
340,265,72,36,2920,506
341,188,213,66,3350,561
342,229,97,68,2840,556
343,240,226,81,2720,678
344,208,89,91,3130,531
345,202,80,75,3270,469
346,206,244,45,3300,630
347,142,170,118,3330,572
348,300,139,93,2950,682
349,207,142,52,3070,498
350,195,111,77,2830,491
351,206,155,48,2990,554
352,315,79,38,2250,532
353,124,54,87,2770,414
354,289,161,117,2200,702
355,169,165,68,3160,558
356,134,186,114,2890,586
357,296,106,45,2990,566
358,278,212,118,2460,770
359,170,74,79,3300,452
360,314,243,119,1540,769
361,240,209,88,2670,702
362,230,93,51,2980,535
363,298,199,114,2260,725
364,272,84,46,3280,538
365,273,193,80,3400,672
366,313,150,92,3090,709
367,304,158,41,2850,667
368,258,142,77,2660,625
369,204,177,51,3400,560
370,152,180,62,2740,542
371,127,103,94,3510,436
372,333,200,104,3120,769
373,230,102,51,3060,510
374,142,127,113,3300,487
375,149,148,63,2660,516
376,297,236,80,2180,722
377,282,65,82,2960,524
378,297,229,80,2280,756
379,262,186,66,2000,666
380,172,200,96,2730,571
381,146,224,67,2960,561
382,247,228,58,2690,699
383,245,175,63,2690,631
384,257,130,59,2990,606
385,326,93,79,3140,624
386,224,52,84,1925,477
387,300,61,75,2880,602
388,157,112,71,3390,495
389,301,222,47,3220,671
390,273,202,43,2440,675
391,241,152,74,2980,578
392,208,77,86,2630,461
393,124,212,38,3570,527
394,323,64,44,2110,563
395,319,203,83,2760,747
396,190,225,41,3040,552
397,195,65,114,3360,481
398,250,146,89,3290,611
399,325,237,117,3310,772
400,205,124,58,2690,545
401,185,147,38,3310,521
402,225,158,70,2970,558
403,268,245,117,2150,748
404,130,134,79,2680,506
405,157,176,41,3520,496
406,318,186,102,3000,756
407,130,169,55,2960,477
408,168,102,61,3460,465
409,297,64,53,2940,542
410,153,137,60,3310,505
411,236,139,111,2760,626
412,308,143,49,2960,591
413,298,223,75,3330,740
414,279,120,69,3240,575
415,129,69,63,2550,419
416,215,58,119,2940,555
417,322,87,99,2960,625
418,237,80,34,3380,509
419,181,219,70,3320,601
420,125,215,70,3230,573
421,180,242,80,2390,602
422,258,198,119,2890,714
423,323,124,89,2380,680
424,330,145,109,2090,683
425,264,119,46,3650,534
426,249,245,74,2260,699
427,300,113,115,2400,621
428,289,147,43,3180,595
429,244,53,75,3110,526
430,246,215,123,3140,707
431,122,189,70,2600,500
432,169,86,34,3420,418
433,274,236,33,3500,656
434,285,81,70,2830,562
435,282,76,118,2970,579
436,278,135,66,2940,623
437,132,160,47,3160,488
438,169,172,113,2870,573
439,309,59,85,2950,549
440,322,237,70,2660,759
441,210,184,51,2870,539
442,306,57,90,3380,578
443,269,63,102,3250,550
444,155,160,86,3240,507
445,330,185,97,3130,732
446,265,122,76,2870,588
447,291,111,56,2740,603
448,142,162,98,1800,500
449,233,156,56,2190,537
450,138,109,103,2890,513
451,250,170,93,2930,612
452,255,58,117,2740,539
453,330,80,53,3330,617
454,122,56,112,3290,451
455,337,59,72,3620,581
456,331,71,109,3390,650
457,135,127,39,2200,395
458,242,232,67,2040,662
459,228,239,78,2510,691
460,294,100,73,2910,621
461,245,69,61,2830,479
462,135,174,46,3540,477
463,205,232,87,2960,631
464,338,122,99,2900,712
465,334,154,81,2920,729
466,148,122,108,3390,523
467,339,126,122,2580,680
468,257,234,36,2500,646
469,229,142,85,3530,588
470,227,101,61,1700,498
471,280,183,43,3290,639
472,223,78,73,3380,536
473,234,191,67,3600,618
474,172,64,98,3440,471
475,163,94,121,3240,512
476,238,63,121,2400,558
477,241,121,104,2770,582
478,142,72,111,3630,440
479,153,138,106,2570,516
480,335,55,121,3560,601
481,334,65,91,3280,607
482,312,201,76,2990,745
483,304,188,120,2520,756
484,281,125,64,3340,636
485,313,209,56,3330,725
486,334,114,88,2760,667
487,238,62,145,3430,609
488,334,163,95,3500,713
489,185,172,57,3000,530
490,183,200,160,3630,682
491,168,175,34,2690,472
492,202,151,121,3300,633
493,321,66,80,3030,560
494,163,89,130,3050,531
495,200,74,130,2570,516
496,214,113,111,3480,597
497,285,235,103,2470,741
498,290,96,118,2850,619
499,181,138,97,3090,521
500,149,113,97,1750,513
501,175,106,121,3190,552
502,304,129,116,3330,657
503,134,165,53,2650,491
504,270,237,81,2780,728
505,242,157,74,2840,599
506,167,150,49,3530,484
507,134,79,101,3020,465
508,235,230,49,3360,678
509,249,189,61,2880,642
510,298,96,72,3340,585
511,337,140,111,2640,694
512,168,131,60,2640,524
513,333,86,108,2850,676
514,192,176,34,2760,505
515,331,186,97,2700,767
