Gender,Loan.Offered,Job,Work.Exp,Credit.Score,EMI.Ratio,Status,Credit.History,Own house,Purpose,Dependents
Female,1,skilled,17,94,6.9,No,critical,1,education,3
Male,0,unskilled,13,88,6.9,No,good,1,consumer.durable,2
Female,0,unskilled,11,86,6.9,No,good,1,consumer.durable,3
Male,1,Management,10,82,7,No,critical,1,education,3
Male,0,Management,15,96,7,No,good,1,consumer.durable,3
Male,1,skilled,14,93,7,No,good,1,consumer.durable,2
Female,1,skilled,17,92,7,No,critical,1,education,3
Male,0,unskilled,14,93,7,No,good,1,consumer.durable,2
Male,1,skilled,11,81,7.1,No,good,1,consumer.durable,2
Female,1,skilled,10,84,7.1,No,good,1,consumer.durable,3
Female,1,skilled,14,91,7.1,No,good,1,consumer.durable,3
Female,1,skilled,13,94,7.1,No,critical,1,education,3
Female,1,skilled,17,94,7.1,No,critical,1,education,3
Male,1,skilled,14,91,7.1,No,good,1,consumer.durable,2
Female,1,skilled,13,94,7.1,No,good,1,consumer.durable,3
Female,0,unskilled,11,86,7.1,No,good,1,consumer.durable,3
Male,0,Management,13,93,7.2,No,good,1,consumer.durable,1
Male,1,skilled,11,86,7.2,No,good,1,consumer.durable,2
Female,1,skilled,14,94,7.2,No,good,1,consumer.durable,3
Female,1,skilled,15,90,7.2,No,good,1,consumer.durable,3
Female,0,unskilled,13,87,7.2,No,good,0,consumer.durable,3
Male,0,unskilled,11,88,7.2,No,good,1,consumer.durable,2
Male,0,unskilled,14,93,7.2,No,good,1,consumer.durable,2
Male,1,Management,9,76,7.3,No,good,1,consumer.durable,3
Male,0,Management,10,85,7.3,No,critical,1,education,3
Male,0,Management,10,81,7.3,No,good,1,consumer.durable,3
Male,0,Management,16,93,7.3,No,good,1,consumer.durable,1
Male,1,Management,13,91,7.3,No,good,1,consumer.durable,1
Male,1,skilled,12,83,7.3,No,good,1,consumer.durable,0
Female,1,skilled,10,84,7.3,No,critical,1,education,3
Male,1,skilled,10,78,7.3,No,good,1,consumer.durable,2
Female,1,skilled,17,94,7.3,No,critical,1,education,3
Male,1,skilled,16,96,7.3,No,good,1,consumer.durable,0
Female,0,unskilled,10,81,7.3,No,critical,1,education,3
Female,0,unskilled,11,83,7.3,No,good,1,consumer.durable,3
Male,0,unskilled,16,93,7.3,No,good,0,consumer.durable,2
Male,1,skilled,8,81,7.4,No,good,1,consumer.durable,2
Male,1,skilled,14,86,7.4,No,good,1,consumer.durable,2
Female,1,skilled,11,84,7.4,No,good,1,consumer.durable,3
Male,1,skilled,12,88,7.4,No,good,1,consumer.durable,0
Male,1,skilled,12,90,7.4,No,critical,1,education,2
Male,1,skilled,15,90,7.4,No,good,1,consumer.durable,2
Male,0,unskilled,14,90,7.4,No,good,1,consumer.durable,2
Male,1,Management,16,93,7.5,No,good,1,consumer.durable,3
Male,0,Management,16,89,7.5,No,good,1,consumer.durable,3
Male,1,Management,13,87,7.5,No,good,1,consumer.durable,3
Male,1,Management,14,93,7.5,No,good,1,consumer.durable,3
Male,1,Management,14,90,7.5,No,good,1,consumer.durable,3
Male,1,skilled,13,85,7.5,No,good,1,consumer.durable,2
Male,1,skilled,11,83,7.5,No,good,1,consumer.durable,2
Male,1,skilled,8,82,7.5,No,good,1,consumer.durable,2
Male,1,skilled,15,91,7.5,No,good,1,consumer.durable,2
Female,1,skilled,16,90,7.5,No,good,1,consumer.durable,3
Male,0,unskilled,12,88,7.5,No,good,1,consumer.durable,2
Male,0,Management,11,81,7.6,No,good,1,consumer.durable,3
Male,1,Management,12,91,7.6,No,good,1,consumer.durable,1
Male,1,skilled,16,85,7.6,No,good,1,consumer.durable,2
Male,1,skilled,12,88,7.6,No,good,1,consumer.durable,2
Male,1,skilled,14,91,7.6,No,good,1,consumer.durable,2
Female,0,skilled,14,86,7.6,No,good,1,consumer.durable,3
Male,0,skilled,14,90,7.6,No,good,1,consumer.durable,2
Male,0,unskilled,16,90,7.6,No,good,1,consumer.durable,2
Male,0,unskilled,14,90,7.6,No,good,1,consumer.durable,2
Male,1,skilled,14,92,7.6,No,good,1,consumer.durable,2
Male,1,skilled,17,96,7.6,No,good,1,consumer.durable,0
Male,1,Management,10,81,7.7,No,good,1,consumer.durable,3
Male,1,skilled,11,83,7.7,No,good,1,consumer.durable,0
Male,1,skilled,14,85,7.7,No,good,1,consumer.durable,2
Male,1,skilled,13,85,7.7,No,good,1,consumer.durable,2
Male,1,skilled,12,78,7.7,No,good,1,consumer.durable,2
Male,0,skilled,12,88,7.7,No,good,1,consumer.durable,2
Female,0,skilled,19,95,7.7,No,good,1,consumer.durable,3
Male,1,skilled,11,88,7.7,No,good,1,consumer.durable,2
Male,1,skilled,18,94,7.7,No,good,1,consumer.durable,3
Male,1,skilled,13,88,7.7,No,good,0,consumer.durable,2
Male,1,skilled,15,88,7.7,No,good,1,consumer.durable,2
Female,1,skilled,16,90,7.7,No,good,1,consumer.durable,4
Male,1,Management,5,64,7.8,No,good,1,consumer.durable,3
Female,0,skilled,19,95,7.8,No,good,1,consumer.durable,3
Male,0,skilled,13,89,7.8,No,good,1,consumer.durable,3
Male,0,unskilled,12,85,7.8,No,good,1,consumer.durable,0
Female,0,unskilled,9,81,7.8,No,critical,1,education,3
Female,1,skilled,16,94,7.8,No,critical,0,education,4
Male,1,skilled,14,90,7.8,No,critical,0,education,2
Male,1,skilled,12,87,7.8,No,good,1,consumer.durable,3
Female,1,skilled,13,90,7.8,No,good,1,consumer.durable,3
Male,1,skilled,18,92,7.8,No,good,1,consumer.durable,2
Male,1,skilled,16,89,7.8,No,good,1,consumer.durable,2
Male,1,skilled,17,93,7.8,No,critical,1,education,2
Female,1,skilled,15,87,7.8,No,critical,1,education,3
Female,1,skilled,13,91,7.8,No,good,0,consumer.durable,3
Male,1,skilled,18,95,7.8,No,good,1,consumer.durable,3
Male,1,Management,13,85,7.9,No,good,1,consumer.durable,3
Male,0,Management,11,82,7.9,No,good,1,consumer.durable,3
Male,1,Management,8,72,7.9,No,good,1,consumer.durable,3
Male,1,skilled,13,86,7.9,No,good,1,consumer.durable,2
Male,0,skilled,17,93,7.9,No,good,1,consumer.durable,0
Male,1,skilled,14,86,7.9,No,good,1,consumer.durable,2
Male,1,skilled,13,90,7.9,No,good,1,consumer.durable,0
Male,1,skilled,13,91,7.9,No,good,1,consumer.durable,2
Male,1,skilled,15,88,7.9,No,good,1,consumer.durable,0
Female,1,skilled,15,92,7.9,No,good,1,consumer.durable,3
Male,1,skilled,15,91,7.9,No,good,1,consumer.durable,2
Male,0,Management,11,85,8,No,critical,1,education,3
Male,1,Management,9,81,8,No,good,1,consumer.durable,3
Male,1,Management,10,76,8,No,good,1,consumer.durable,3
Male,1,skilled,13,86,8,No,good,1,consumer.durable,2
Female,1,skilled,14,85,8,No,good,1,consumer.durable,3
Female,1,skilled,17,92,8,No,good,1,consumer.durable,3
Female,1,skilled,14,90,8,No,good,1,consumer.durable,4
Female,1,skilled,12,91,8,No,good,1,consumer.durable,3
Male,1,skilled,12,87,8,No,good,1,consumer.durable,3
Male,1,skilled,15,86,8,No,good,1,consumer.durable,2
Male,1,skilled,13,86,8,No,good,1,consumer.durable,0
Female,1,skilled,11,83,8.1,No,good,1,consumer.durable,3
Female,0,skilled,13,91,8.1,No,good,1,consumer.durable,3
Male,0,skilled,16,93,8.1,No,good,1,consumer.durable,0
Female,0,unskilled,13,85,8.1,No,critical,1,education,3
Male,1,skilled,13,88,8.1,No,good,0,consumer.durable,3
Male,1,skilled,14,92,8.1,No,good,1,consumer.durable,2
Male,1,skilled,18,93,8.1,No,critical,1,education,2
Female,1,skilled,13,90,8.1,No,critical,1,education,3
Male,0,Management,11,84,8.2,No,good,1,consumer.durable,3
Male,1,Management,8,72,8.2,No,good,1,consumer.durable,3
Male,1,Management,5,64,8.2,No,good,1,consumer.durable,3
Male,1,skilled,12,84,8.2,No,good,1,consumer.durable,2
Female,1,skilled,5,69,8.2,No,good,1,consumer.durable,3
Male,1,skilled,11,78,8.2,No,critical,1,education,2
Male,0,skilled,13,90,8.2,No,good,1,consumer.durable,2
Male,0,skilled,14,93,8.2,No,good,1,consumer.durable,3
Male,1,skilled,15,91,8.2,No,good,1,consumer.durable,2
Male,1,skilled,15,92,8.2,No,good,1,consumer.durable,2
Male,1,skilled,13,91,8.2,No,good,1,consumer.durable,3
Male,1,skilled,15,89,8.2,No,good,1,consumer.durable,2
Male,1,skilled,16,88,8.2,No,good,1,consumer.durable,2
Male,1,skilled,14,90,8.3,No,good,0,consumer.durable,2
Male,1,skilled,15,88,8.3,No,good,1,consumer.durable,3
Male,1,skilled,14,86,8.3,No,good,1,consumer.durable,0
Male,1,Management,13,85,8.4,No,good,1,consumer.durable,3
Female,0,skilled,13,86,8.4,No,good,1,consumer.durable,3
Female,0,skilled,13,88,8.4,No,good,1,consumer.durable,3
Female,0,skilled,15,88,8.4,No,good,1,consumer.durable,3
Male,0,unskilled,14,85,8.4,No,good,1,consumer.durable,2
Male,1,skilled,15,94,8.4,No,good,1,consumer.durable,3
Male,1,skilled,14,91,8.4,No,good,1,consumer.durable,2
Male,0,Management,13,87,8.5,No,good,1,consumer.durable,3
Female,1,skilled,11,84,8.5,No,very good,1,consumer.durable,3
Male,1,skilled,13,84,8.5,No,good,1,consumer.durable,2
Female,1,skilled,5,69,8.5,No,good,1,consumer.durable,3
Male,0,unskilled,12,84,8.5,No,very good,1,consumer.durable,2
Male,0,unskilled,12,84,8.5,No,good,1,consumer.durable,2
Female,1,skilled,14,87,8.5,No,very good,1,consumer.durable,3
Female,1,skilled,14,90,8.5,No,critical,1,education,3
Male,1,skilled,17,94,8.5,No,good,1,consumer.durable,2
Male,0,Management,13,87,8.6,No,good,1,consumer.durable,3
Male,1,Management,4,69,8.6,No,good,1,consumer.durable,1
Female,1,skilled,9,83,8.6,No,good,1,consumer.durable,3
Female,1,skilled,14,86,8.6,No,good,1,consumer.durable,3
Female,0,skilled,14,91,8.6,No,critical,1,consumer.durable,3
Male,0,unskilled,13,84,8.6,No,good,1,consumer.durable,2
Male,1,skilled,14,87,8.6,No,good,1,consumer.durable,3
Male,1,skilled,13,90,8.6,No,good,1,consumer.durable,0
Male,1,skilled,18,94,8.6,No,good,1,consumer.durable,2
Male,0,skilled,14,90,8.7,No,good,1,consumer.durable,2
Female,0,skilled,15,91,8.7,No,critical,1,consumer.durable,3
Male,0,unskilled,11,85,8.7,No,good,1,consumer.durable,2
Male,0,unskilled,15,85,8.7,No,good,1,consumer.durable,0
Male,1,skilled,16,93,8.7,No,good,0,consumer.durable,3
Male,1,Management,13,85,8.8,No,good,1,consumer.durable,1
Male,0,unskilled,10,84,8.8,No,very good,1,consumer.durable,0
Male,0,unskilled,14,86,8.8,No,very good,1,consumer.durable,2
Male,1,skilled,14,92,8.8,No,good,1,consumer.durable,2
Male,1,skilled,14,92,8.8,No,good,1,consumer.durable,2
Male,1,skilled,18,94,8.8,No,good,0,consumer.durable,2
Male,1,Management,6,64,8.9,No,critical,1,education,3
Male,0,Management,13,84,8.9,No,good,1,consumer.durable,3
Male,1,skilled,9,81,8.9,No,very good,1,consumer.durable,2
Male,1,skilled,12,85,8.9,No,critical,1,consumer.durable,0
Male,1,skilled,17,90,8.9,No,very good,1,consumer.durable,2
Male,1,skilled,14,91,8.9,No,very good,0,car,1
Male,1,skilled,14,90,8.9,No,very good,1,consumer.durable,2
Male,1,skilled,12,88,8.9,No,good,1,consumer.durable,3
Female,1,skilled,17,92,8.9,No,good,1,consumer.durable,3
Female,1,skilled,14,84,9,No,good,1,consumer.durable,3
Male,1,skilled,12,83,9,No,very good,1,consumer.durable,2
Male,1,skilled,16,94,9,No,good,1,consumer.durable,2
Male,1,skilled,16,88,9,No,good,1,consumer.durable,0
Male,1,Management,11,85,9.1,No,good,1,consumer.durable,1
Male,1,Management,11,85,9.1,No,good,1,consumer.durable,1
Male,1,Management,4,69,9.1,No,good,1,consumer.durable,1
Female,1,skilled,12,86,9.1,No,good,1,consumer.durable,3
Female,1,skilled,14,84,9.1,No,good,1,consumer.durable,3
Female,1,skilled,12,84,9.1,No,good,1,consumer.durable,1
Male,1,skilled,16,87,9.1,No,good,1,consumer.durable,3
Female,1,skilled,18,92,9.1,No,good,0,consumer.durable,4
Female,1,skilled,13,88,9.1,No,good,1,consumer.durable,3
Male,1,skilled,13,88,9.1,No,good,1,consumer.durable,0
Female,1,skilled,16,90,9.1,No,critical,1,consumer.durable,3
Male,1,Management,12,84,9.2,No,good,1,consumer.durable,3
Female,1,skilled,13,84,9.2,No,very good,1,consumer.durable,3
Male,1,skilled,14,85,9.2,No,critical,1,consumer.durable,0
Male,0,unskilled,12,84,9.2,No,very good,1,consumer.durable,0
Female,1,skilled,16,90,9.2,No,critical,1,consumer.durable,3
Male,1,skilled,18,93,9.2,No,very good,1,consumer.durable,3
Male,1,skilled,15,92,9.3,No,very good,1,consumer.durable,3
Female,1,skilled,18,92,9.3,No,good,0,consumer.durable,4
Male,1,skilled,14,93,9.3,No,good,1,consumer.durable,3
Male,1,skilled,17,93,9.3,No,very good,1,consumer.durable,3
Female,1,skilled,13,88,9.3,No,good,1,consumer.durable,3
Male,0,Management,12,81,9.4,No,very good,1,consumer.durable,3
Female,1,skilled,13,87,9.4,No,very good,0,consumer.durable,3
Male,1,skilled,17,94,9.4,No,good,1,consumer.durable,2
Female,1,skilled,13,88,9.4,No,very good,0,consumer.durable,4
Male,1,skilled,13,88,9.4,No,very good,1,car,2
Male,1,Management,11,84,9.5,No,very good,1,consumer.durable,3
Male,1,Management,6,66,9.5,No,very good,1,consumer.durable,3
Female,0,Management,10,85,9.5,No,very good,1,consumer.durable,4
Male,1,skilled,12,84,9.5,No,very good,1,car,2
Female,0,unskilled,10,78,9.5,No,very good,1,car,3
Male,0,unskilled,12,86,9.5,No,very good,1,consumer.durable,2
Male,1,skilled,13,87,9.5,No,very good,1,car,2
Female,1,skilled,15,88,9.5,No,very good,1,consumer.durable,4
Male,0,Management,10,81,9.6,No,very good,1,consumer.durable,3
Male,1,Management,12,86,9.6,No,very good,1,car,3
Male,1,Management,12,85,9.6,No,good,1,consumer.durable,1
Female,0,Management,11,85,9.6,No,very good,1,consumer.durable,4
Male,1,skilled,15,84,9.6,No,very good,1,car,2
Male,1,skilled,13,83,9.6,No,very good,1,consumer.durable,2
Male,0,skilled,13,88,9.6,No,very good,1,car,1
Female,0,skilled,13,94,9.6,No,good,1,consumer.durable,3
Female,0,skilled,15,94,9.6,No,good,1,consumer.durable,3
Female,0,unskilled,10,78,9.6,No,very good,1,car,3
Male,1,skilled,11,88,9.6,No,good,0,consumer.durable,3
Female,1,skilled,16,89,9.6,No,very good,1,car,3
Male,1,skilled,17,93,9.6,No,very good,1,car,2
Male,1,skilled,13,92,9.6,No,very good,0,consumer.durable,3
Male,1,skilled,17,91,9.6,No,very good,1,car,3
Female,1,skilled,12,88,9.6,No,good,1,consumer.durable,3
Male,1,skilled,15,94,9.6,No,very good,1,car,3
Male,1,skilled,13,88,9.7,No,very good,1,car,2
Female,1,skilled,14,87,9.7,No,good,1,consumer.durable,3
Female,1,skilled,14,92,9.7,No,good,1,consumer.durable,3
Male,1,skilled,12,87,9.7,No,very good,0,car,3
Male,1,Management,13,86,9.8,No,very good,1,car,3
Female,1,skilled,11,84,9.8,No,very good,1,car,3
Male,0,skilled,17,90,9.8,No,very good,1,car,1
Male,1,skilled,15,93,9.8,No,good,1,consumer.durable,0
Male,1,skilled,16,91,9.8,No,very good,1,car,1
Female,1,skilled,13,89,9.8,No,very good,1,car,3
Female,1,skilled,12,89,9.8,No,very good,0,car,3
Male,1,skilled,13,90,9.8,No,very good,0,car,1
Male,1,skilled,14,93,9.8,No,good,1,consumer.durable,0
Female,0,Management,11,83,9.9,No,very good,1,car,4
Male,1,skilled,10,84,9.9,No,very good,1,car,2
Female,0,skilled,11,85,9.9,No,very good,1,car,3
Male,0,skilled,15,88,9.9,No,very good,1,car,2
Male,0,skilled,13,88,9.9,No,very good,1,car,2
Male,1,skilled,13,89,9.9,No,very good,1,car,3
Male,1,skilled,12,87,9.9,No,very good,1,car,2
Male,1,skilled,16,94,9.9,No,good,1,consumer.durable,2
Male,1,skilled,17,95,9.9,No,good,1,consumer.durable,2
Male,1,skilled,14,87,9.9,No,very good,0,car,3
Male,1,Management,10,82,10,No,very good,1,car,3
Male,1,Management,10,82,10,No,very good,1,car,3
Female,1,skilled,11,83,10,No,very good,1,car,3
Male,1,skilled,9,78,10,No,good,1,consumer.durable,0
Female,1,skilled,11,87,10,No,very good,1,car,3
Female,0,skilled,15,94,10,No,very good,1,car,3
Male,0,skilled,14,88,10,No,very good,1,car,1
Male,0,unskilled,15,85,10,No,verygood,1,car,1
Male,1,skilled,15,91,10,No,very good,0,car,3
Female,1,skilled,14,88,10,No,good,1,consumer.durable,3
Male,1,skilled,14,88,10,No,very good,1,car,3
Male,1,skilled,18,93,10,No,very good,1,car,1
Male,1,skilled,14,92,10,No,good,1,consumer.durable,2
Male,1,skilled,14,90,10,No,good,1,consumer.durable,2
Male,1,skilled,14,93,10,No,very good,1,car,3
Male,1,Management,10,73,10.1,No,good,1,consumer.durable,1
Female,1,skilled,11,84,10.1,No,very good,1,car,3
Male,1,skilled,9,78,10.1,No,good,1,consumer.durable,0
Male,1,skilled,10,81,10.1,No,verygood,1,car,2
Female,1,skilled,10,84,10.1,No,good,1,consumer.durable,1
Female,0,unskilled,13,83,10.1,No,very good,1,car,3
Male,0,unskilled,11,72,10.1,No,very good,1,car,2
Male,1,skilled,16,93,10.1,No,very good,0,car,1
Male,1,skilled,15,93,10.1,No,very good,1,car,2
Male,1,Management,11,73,10.2,No,good,1,consumer.durable,1
Male,1,Management,5,66,10.2,No,very good,1,car,3
Female,1,skilled,10,87,10.2,No,very good,1,car,3
Female,0,skilled,19,94,10.2,No,very good,1,car,3
Female,0,skilled,14,85,10.2,No,very good,1,car,3
Female,0,unskilled,12,83,10.2,No,very good,1,car,3
Female,1,skilled,14,93,10.2,No,verygood,1,car,3
Male,1,skilled,15,90,10.2,No,good,1,consumer.durable,2
Female,1,skilled,11,89,10.2,No,very good,0,car,3
Female,1,skilled,17,90,10.2,No,verygood,0,car,3
Male,1,skilled,10,83,10.3,No,very good,1,car,2
Male,1,skilled,14,83,10.3,No,very good,1,car,1
Female,1,skilled,12,83,10.3,No,very good,1,car,3
Male,1,skilled,18,95,10.3,No,good,1,consumer.durable,2
Female,1,skilled,12,87,10.3,No,good,0,consumer.durable,3
Male,1,skilled,12,89,10.3,No,very good,0,car,3
Male,1,Management,10,84,10.4,No,very good,1,car,3
Male,1,skilled,13,85,10.4,No,very good,1,car,2
Male,1,skilled,14,85,10.4,No,very good,1,car,2
Female,1,skilled,18,93,10.4,No,verygood,1,car,3
Male,1,skilled,17,93,10.4,No,very good,0,car,3
Male,1,Management,10,84,10.5,No,very good,1,car,3
Male,1,skilled,11,84,10.5,No,very good,1,car,2
Male,1,skilled,11,83,10.5,No,very good,1,car,2
Male,1,skilled,12,83,10.5,No,very good,1,car,1
Female,1,skilled,10,78,10.5,No,very good,1,car,3
Male,1,skilled,11,84,10.5,No,very good,1,car,2
Male,1,skilled,13,88,10.5,No,very good,1,car,2
Male,1,skilled,18,96,10.5,No,very good,1,car,2
